timepoint_id,timepoint_code,timepoint_name,timepoint_desc,timepoint_lat,timepoint_lon,zone_id,timepoint_url,location_type,parent_station,timepoint_timezone,wheelchair_boarding
83,1001593,"Wisconsin Avenue and R Street NW (NB)",,38.914019,-77.066735,,,,,,0
85,1003863,"Massachusetts Avenue and 5th Street NW (EB)",,38.901094,-77.019100,,,,,,0
86,1001315,"M Street and 34th Street NW (WB)",,38.904981,-77.067419,,,,,,0
87,1003846,"15th Street and Madison Drive NW (SB)",,38.890333,-77.033326,,,,,,0
88,1003148,"M Street and New Jersey Avenue SE (WB)",,38.876596,-77.004772,,,,,,0
89,1003857,"L Street and 24th Street NW (WB)",,38.903681,-77.051220,,,,,,0
90,1003826,"19th Street and N Street NW (SB)",,38.907501,-77.043514,,,,,,0
91,1001373,"Wisconsin Avenue and N Street NW (SB)",,38.907238,-77.063350,,,,,,0
92,1001290,"Pennsylvania Avenue and 26th Street NW (EB)",,38.903856,-77.054323,,,,,,0
93,1001964,"Columbia Road and 14th Street NW (WB)",,38.927541,-77.033118,,,,,,0
94,1001322,"M Street and 30th Street NW (WB)",,38.905309,-77.059478,,,,,,0
96,1003865,"15th Street near Maine Avenue SW (SB)",,38.885699,-77.033846,,,,,,0
97,1001198,"Pennsylvania Avenue and 22nd Street NW (EB)",,38.901973,-77.048932,,,,,,0
98,1003853,"Jefferson Drive and 12th Street SW (EB)",,38.888598,-77.028340,,,,,,0
99,1001595,"Wisconsin Avenue and R Street NW (SB)",,38.913873,-77.066864,,,,,,0
100,1001406,"Wisconsin Avenue and P Street NW (NB)",,38.909066,-77.064125,,,,,,0
101,1003521,"Massachusetts Avenue and 7th Street NW (WB)",,38.902181,-77.021712,,,,,,0
103,1001951,"Columbia Roat and 16th Street NW (WB)",,38.926890,-77.035935,,,,,,0
104,1001242,"K Street and 16th Street NW (WB)",,38.902599,-77.036983,,,,,,0
105,1001222,"K Street and 14th Street NW (EB)",,38.902442,-77.032208,,,,,,0
106,1003811,"21st Street and K Street NW (SB)",,38.902190,-77.046717,,,,,,0
107,1003744,"Mass. Avenue and Columbus Cir (Union Station) (WB)",,38.895977,-77.005182,,,,,,0
108,1001877,"Connecticut Avenue and 24th Street NW (SB)",,38.924490,-77.052221,,,,,,0
109,1003660,"New York Avenue and 9th Street NW (WB)",,38.902091,-77.024599,,,,,,0
112,1001229,"K Street and 17th Street NW (EB)",,38.902445,-77.039758,,,,,,0
113,1001120,"North Capitol Street and H Street NE (NB)",,38.900012,-77.008923,,,,,,0
114,1003851,"E St and Columbus Circle NE (Union Station) (EB)",,38.896426,-77.007955,,,,,,0
115,1001645,"Wisconsin Avenue and 34th Street NW (SB)",,38.915889,-77.068024,,,,,,0
116,1001033,"Massachusetts Avenue and First Street NE (EB)",,38.896873,-77.008034,,,,,,0
118,1000662,"Pennsylvania Avenue and 7th Street SE (WB)",,38.884769,-76.995955,,,,,,0
119,1000589,"8th Street and G Street SE (SB)",,38.881370,-76.995080,,,,,,0
121,1003858,"Lincoln Memorial Circle SW (WB)",,38.888475,-77.050624,,,,,,0
122,1000527,"8th Street and L Street SE (NB)",,38.877799,-76.994873,,,,,,0
123,1003861,"Madison Drive and 12th Street NW (WB)",,38.890517,-77.028701,,,,,,0
124,1001219,"K Street and 19th Street NW (EB)",,38.902444,-77.043683,,,,,,0
584,1000822,"8th Street and E Capitol NE",,38.890115,-76.994889,,,,,,0
585,1003781,"11th Street and O Street NE",,38.873565,-76.991238,,,,,,0
586,1003755,"8th Street and L Street SE",,38.877229,-76.995085,,,,,,0
587,1000517,"M Street and Delaware Ave SW",,38.876586,-77.013563,,,,,,0
588,1000216,"Stanton Road and Bruce Place SE",,38.850662,-76.980941,,,,,,0
589,1000295,"Stanton Road and Douglass Road SE",,38.857415,-76.987355,,,,,,0
591,1000265,"Stanton Road and Pomeroy Road SE",,38.856077,-76.986895,,,,,,0
592,1000311,"Sheridan Road and Bowen Road SE",,38.858849,-76.993289,,,,,,0
593,1001239,"K Street and 14th Street NW",,38.902600,-77.032504,,,,,,0
594,1002989,"Anacostia Station Bus Bay F",,38.861893,-76.995070,,,,,,0
595,1000498,"M Street and 4th Street SW",,38.876354,-77.017189,,,,,,0
596,1003316,"Congress Heights Bus Bay G",,38.845883,-76.987656,,,,,,0
597,1000566,"7th Street and I Street SW",,38.879959,-77.022026,,,,,,0
598,1003665,"D Street and 7th Street SW",,38.884768,-77.020666,,,,,,0
599,1000194,"Stanton Road and Alabama Ave SE",,38.847245,-76.980360,,,,,,0
600,1000509,"M Street and Half Street SE",,38.876572,-77.008423,,,,,,0
