trip_id,route_id,service_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
7536050,EM-LP,1,"L'ENFANT PLAZA",,0,100507505,shp-EM-LP-53,2,2
553070,GT-US,3,"GEORGETOWN",,0,100111707,shp-GT-US-01,0,0
1239060,RS-DP,4,"ROSSLYN",,0,100604606,shp-RS-DP-54,0,0
6327040,WP-AM,2,"WOODLEY PARK METRO",,1,100206404,shp-WP-AM-03,0,0
5988020,RS-DP,7,"ROSSLYN",,0,100601202,shp-RS-DP-54,0,0
1148010,EM-LP,6,"EASTERN MARKET",,1,100502101,shp-EM-LP-03,2,2
325040,RS-DP,2,"ROSSLYN",,0,100602404,shp-RS-DP-54,0,0
4835070,NMS,3,"LINCOLN MEMORIAL",,1,100851707,shp-NMS-03,0,0
2880070,RS-DP,3,"ROSSLYN",,0,100651707,shp-RS-DP-54,0,0
6085020,EM-LP,7,"EASTERN MARKET",,1,100503202,shp-EM-LP-03,2,2
2964040,WP-AM,2,"WOODLEY PARK METRO",,1,100208404,shp-WP-AM-03,0,0
7276020,CH-US,7,"CONGRESS HEIGHTS",,0,100701202,shp-CH-US-53,0,0
6180070,GT-US,3,"GEORGETOWN",,0,100102707,shp-GT-US-01,0,0
2508020,EM-LP,7,"EASTERN MARKET",,1,100552202,shp-EM-LP-03,2,2
2322020,EM-LP,7,"L'ENFANT PLAZA",,0,100501202,shp-EM-LP-53,2,2
4199030,WP-AM,5,"MCPHERSON SQUARE METRO",,0,100207303,shp-WP-AM-53,0,0
5658070,GT-US,3,"GEORGETOWN",,0,100108707,shp-GT-US-01,0,0
6033060,WP-AM,4,"MCPHERSON SQUARE METRO",,0,100201606,shp-WP-AM-53,0,0
830060,NMS,4,"LINCOLN MEMORIAL",,1,100851606,shp-NMS-03,0,0
6197030,GT-US,5,"GEORGETOWN",,0,100102303,shp-GT-US-01,0,0
1659060,WP-AM,4,"MCPHERSON SQUARE METRO",,0,100204606,shp-WP-AM-53,0,0
5031010,CH-US,6,"UNION STATION",,1,100707101,shp-CH-US-03,0,0
5255060,CH-US,4,"UNION STATION",,1,100712606,shp-CH-US-03,0,0
6503060,GT-US,4,"UNION STATION",,1,100109606,shp-GT-US-51,0,0
1953050,EM-LP,1,"EASTERN MARKET",,1,100501505,shp-EM-LP-03,2,2
7648040,NMS,2,"LINCOLN MEMORIAL",,1,100806404,shp-NMS-03,0,0
7152060,NMS,4,"LINCOLN MEMORIAL",,1,100803606,shp-NMS-03,0,0
4021020,NMS,7,"LINCOLN MEMORIAL",,1,100803202,shp-NMS-03,0,0
2183060,EM-LP,4,"EASTERN MARKET",,1,100551606,shp-EM-LP-03,2,2
1592040,RS-DP,2,"DUPONT CIRCLE",,1,100601404,shp-RS-DP-04,0,0
125010,WP-AM,6,"MCPHERSON SQUARE METRO",,0,100203101,shp-WP-AM-53,0,0
5122030,RS-DP,5,"DUPONT CIRCLE",,1,100604303,shp-RS-DP-04,0,0
6292010,GT-US,6,"GEORGETOWN",,0,100109101,shp-GT-US-01,0,0
3223020,WP-AM,7,"WOODLEY PARK METRO",,1,100251202,shp-WP-AM-03,0,0
2714010,GT-US,6,"UNION STATION",,1,100102101,shp-GT-US-51,0,0
306030,EM-LP,5,"EASTERN MARKET",,1,100506303,shp-EM-LP-03,2,2
750020,NMS,7,"LINCOLN MEMORIAL",,1,100806202,shp-NMS-03,0,0
1658030,EM-LP,5,"L'ENFANT PLAZA",,0,100505303,shp-EM-LP-53,2,2
4791030,GT-US,5,"UNION STATION",,1,100104303,shp-GT-US-51,0,0
6651030,WP-AM,5,"MCPHERSON SQUARE METRO",,0,100251303,shp-WP-AM-53,0,0
837070,CH-US,3,"UNION STATION",,1,100708707,shp-CH-US-03,0,0
3408040,EM-LP,2,"EASTERN MARKET",,1,100501404,shp-EM-LP-03,2,2
412010,GT-US,6,"GEORGETOWN",,0,100114101,shp-GT-US-01,0,0
5363050,WP-AM,1,"MCPHERSON SQUARE METRO",,0,100208505,shp-WP-AM-53,0,0
2501070,NMS,3,"LINCOLN MEMORIAL",,1,100801707,shp-NMS-03,0,0
855010,RS-DP,6,"ROSSLYN",,0,100604101,shp-RS-DP-54,0,0
3972060,CH-US,4,"UNION STATION",,1,100701606,shp-CH-US-03,0,0
5139030,RS-DP,5,"ROSSLYN",,0,100606303,shp-RS-DP-54,0,0
3974020,EM-LP,7,"EASTERN MARKET",,1,100505202,shp-EM-LP-03,2,2
5273070,GT-US,3,"UNION STATION",,1,100111707,shp-GT-US-51,0,0
1301040,GT-US,2,"GEORGETOWN",,0,100103404,shp-GT-US-01,0,0
7564050,WP-AM,1,"WOODLEY PARK METRO",,1,100207505,shp-WP-AM-03,0,0
4603040,CH-US,2,"UNION STATION",,1,100702404,shp-CH-US-03,0,0
6946010,GT-US,6,"GEORGETOWN",,0,100108101,shp-GT-US-01,0,0
2622030,CH-US,5,"CONGRESS HEIGHTS",,0,100706303,shp-CH-US-53,0,0
1218060,WP-AM,4,"MCPHERSON SQUARE METRO",,0,100206606,shp-WP-AM-53,0,0
7094030,GT-US,5,"GEORGETOWN",,0,100102303,shp-GT-US-01,0,0
3117050,CH-US,1,"CONGRESS HEIGHTS",,0,100707505,shp-CH-US-53,0,0
