service_id,date,exception_type
CS_D4-Sunday,20241229,2
CS_D4-Sunday-BM,20241228,2
CS_D4-Sunday,20240902,1
CS_D4-Sunday-BM,20240901,1
CS_D4-Sunday,20241128,1
CS_D4-Sunday-BM,20241127,1
CS_D4-Sunday,20241225,1
CS_D4-Sunday-BM,20241224,1
CS_D4-Sunday,20250101,1
CS_D4-Sunday-BM,20241231,1
CS_D4-Weekday-SDon,20241014,2
CS_D4-Weekday-SDon-BM,20241013,2
CS_D4-Weekday-SDon,20241128,2
CS_D4-Weekday-SDon-BM,20241127,2
CS_D4-Weekday-SDon,20241129,2
CS_D4-Weekday-SDon-BM,20241128,2
CS_D4-Weekday-SDon,20241224,2
CS_D4-Weekday-SDon-BM,20241223,2
CS_D4-Weekday-SDon,20241225,2
CS_D4-Weekday-SDon-BM,20241224,2
CS_D4-Weekday-SDon,20241226,2
CS_D4-Weekday-SDon-BM,20241225,2
CS_D4-Weekday-SDon,20241227,2
CS_D4-Weekday-SDon-BM,20241226,2
CS_D4-Weekday-SDon,20241230,2
CS_D4-Weekday-SDon-BM,20241229,2
CS_D4-Weekday-SDon,20241231,2
CS_D4-Weekday-SDon-BM,20241230,2
CS_D4-Weekday-SDon,20250101,2
CS_D4-Weekday-SDon-BM,20241231,2
CS_D4-Weekday-SDon,20240903,2
CS_D4-Weekday-SDon-BM,20240902,2
CS_D4-Weekday-SDon,20240904,2
CS_D4-Weekday-SDon-BM,20240903,2
CS_D4-Weekday-SDon,20241003,2
CS_D4-Weekday-SDon-BM,20241002,2
CS_D4-Weekday-SDon,20241004,2
CS_D4-Weekday-SDon-BM,20241003,2
CS_D4-Weekday-SDon,20241101,2
CS_D4-Weekday-SDon-BM,20241031,2
CS_D4-Weekday-SDon,20241105,2
CS_D4-Weekday-SDon-BM,20241104,2
CS_D4-Weekday-SDon,20241111,2
CS_D4-Weekday-SDon-BM,20241110,2
CS_D4-Weekday,20240903,1
CS_D4-Weekday-BM,20240902,1
CS_D4-Weekday,20240904,1
CS_D4-Weekday-BM,20240903,1
CS_D4-Weekday,20241003,1
CS_D4-Weekday-BM,20241002,1
CS_D4-Weekday,20241004,1
CS_D4-Weekday-BM,20241003,1
CS_D4-Weekday,20241101,1
CS_D4-Weekday-BM,20241031,1
CS_D4-Weekday,20241105,1
CS_D4-Weekday-BM,20241104,1
CS_D4-Weekday,20241111,1
CS_D4-Weekday-BM,20241110,1
CS_D4-Saturday,20241228,2
CS_D4-Saturday-BM,20241227,2
CS_O4-Weekday,20241015,2
CS_O4-Weekday-BM,20241014,2
CS_O4-Weekday,20241016,2
CS_O4-Weekday-BM,20241015,2
CS_O4-Weekday,20241017,2
CS_O4-Weekday-BM,20241016,2
CS_O4-Weekday,20241018,2
CS_O4-Weekday-BM,20241017,2
CS_O4-Weekday,20241021,2
CS_O4-Weekday-BM,20241020,2
CS_O4-Weekday,20241022,2
CS_O4-Weekday-BM,20241021,2
CS_O4-Weekday,20241023,2
CS_O4-Weekday-BM,20241022,2
CS_O4-Weekday,20241024,2
CS_O4-Weekday-BM,20241023,2
CS_O4-Weekday,20241025,2
CS_O4-Weekday-BM,20241024,2
CS_O4-Weekday,20241028,2
CS_O4-Weekday-BM,20241027,2
CS_O4-Weekday,20241029,2
CS_O4-Weekday-BM,20241028,2
CS_O4-Weekday,20241030,2
CS_O4-Weekday-BM,20241029,2
CS_O4-Weekday,20241031,2
CS_O4-Weekday-BM,20241030,2
CS_O4-Weekday,20241101,2
CS_O4-Weekday-BM,20241031,2
CS_O4-Weekday,20241104,2
CS_O4-Weekday-BM,20241103,2
CS_O4-Weekday,20241105,2
