started_at,ended_at,duration,start_station_id,start_station_name,start_station_description,start_station_latitude,start_station_longitude,end_station_id,end_station_name,end_station_description,end_station_latitude,end_station_longitude
2022-04-01 05:24:48.979000+00:00,2022-04-01 05:42:51.131000+00:00,1082,14,Nidarosdomen,i Bispegata ved Katedralskolen. Operativt betjeningspanel.,63.42764485898629,10.394589900970459,1885,Nova Kino,ved Danielsbakerveita,63.433484210997506,10.401003547649282
2022-04-01 06:18:48.751000+00:00,2022-04-01 06:24:23.328000+00:00,334,46,Nidarø,ved rundkjøring utenfor Trondheim Spektrum,63.42646180597998,10.37818819284439,55,Finalebanen,Ved Edvart Griegs gate,63.41978492000792,10.39221078157425
2022-04-01 06:22:43.273000+00:00,2022-04-01 06:26:49.217000+00:00,245,118,Abels gate,Ved Udbyes gate,63.41614341778847,10.396314561367035,45,Studentersamfundet,sør for Eddaparken. Operativt betjeningspanel.,63.42185871322338,10.39451614022255
2022-04-01 06:36:16.246000+00:00,2022-04-01 06:52:23.368000+00:00,967,85,TMV-odden,Solsiden,63.43543547761132,10.410492258537431,293,S. P. Andersens vei,ved Valgrindvegen,63.409888448864876,10.405212902563903
2022-04-01 06:39:04.397000+00:00,2022-04-01 07:12:34.832000+00:00,2010,45,Studentersamfundet,sør for Eddaparken. Operativt betjeningspanel.,63.42185871322338,10.39451614022255,108,Bassengbakken, ved Rosenborgbassenget,63.43592006472795,10.414788275957108
2022-04-01 06:46:01.282000+00:00,2022-04-01 06:58:26.704000+00:00,745,85,TMV-odden,Solsiden,63.43543547761132,10.410492258537431,133,Høyskoleringen,ved bussholdeplass Gløshaugen. Operativt betjeningspanel.,63.41690080192888,10.406886488199234
2022-04-01 06:51:40.639000+00:00,2022-04-01 06:59:52.568000+00:00,491,51,Skansen, ved kryss Mellomila / Illevollen,63.430403126559675,10.37476971745491,20,Nordre gate , Ved Olav Tryggvasons gate,63.433085554043984,10.397391468286514
2022-04-01 06:58:00.234000+00:00,2022-04-01 07:15:05.883000+00:00,1025,51,Skansen, ved kryss Mellomila / Illevollen,63.430403126559675,10.37476971745491,123,Hesthagen,Ved Klæbuveien ,63.41541842278556,10.399565398693085
2022-04-01 07:06:33.184000+00:00,2022-04-01 07:16:16.947000+00:00,583,175,Torvet I,ved Prinsensgate,63.43051170410531,10.392764550201036,92,Dora I, Ved Byarkivet,63.43853720980968,10.419105291366577
2022-04-01 07:31:10.277000+00:00,2022-04-01 07:35:16.786000+00:00,246,1885,Nova Kino,ved Danielsbakerveita,63.433484210997506,10.401003547649282,31,Tollboden ,ved rundkjøring Havnegata,63.43928560696555,10.40479302406311
2022-04-01 07:55:39.954000+00:00,2022-04-01 08:02:07.468000+00:00,387,51,Skansen, ved kryss Mellomila / Illevollen,63.430403126559675,10.37476971745491,1879,Ilsvika,ved 3T Ilsvika,63.43134569132937,10.357376400282561
2022-04-01 07:56:25.094000+00:00,2022-04-01 08:02:04.569000+00:00,339,51,Skansen, ved kryss Mellomila / Illevollen,63.430403126559675,10.37476971745491,1879,Ilsvika,ved 3T Ilsvika,63.43134569132937,10.357376400282561
2022-04-01 08:03:51.479000+00:00,2022-04-01 08:11:46.827000+00:00,475,89,Tyholttårnet,langs Harald Bothners veg ved Otto Nielsens veg,63.42225473306107,10.42776882648468,1,Dokkparken,Ved kryss Innherredsveien / Verftsgata. Operativt betjeningspanel.,63.433509009133566,10.411412715911865
