prices,adresses,sqm,city
Totalpris: 6 328 387 ,"Neuberggata 9B, Oslo",61 ,Oslo
Totalpris: 511 471 ,"Teaterplassen, Oslo",490 000 kr,Oslo
Totalpris: 6 929 650 ,"Drammensveien 51, Oslo",79 ,Oslo
Totalpris: 11 469 120 ,"Peter Aas' vei 4A, Oslo",157 ,Oslo
Totalpris: 5 498 860 ,"Åkebergveien 56A, Oslo",71 ,Oslo
Totalpris: 3 389 409 ,"Krumgata 5A, Oslo",21 ,Oslo
Totalpris: 9 447 221 ,"Spireaveien 7F, Oslo",137 ,Oslo
Totalpris: 5 562 510 ,"Olaf Schous vei 12 - 401, Oslo",70 ,Oslo
Totalpris: 7 496 575 ,"Strømsveien 37J, Oslo",68 ,Oslo
Totalpris: 4 492 824 ,"Finns vei 2, Oslo",55 ,Oslo
Totalpris: 3 990 791 ,"Heimdalsgata 37, Oslo",33 ,Oslo
Totalpris: 8 571 907 ,"Seljeveien 15, Oslo",99 ,Oslo
Totalpris: 24 163 742 ,"Kirkehaugsveien 9E, Oslo",230 ,Oslo
Totalpris: 8 908 490 ,"Vardeheimveien 14A, Oslo",200 ,Oslo
Totalpris: 9 416 750 ,"Breigata 19, Oslo",108 ,Oslo
Totalpris: 6 417 150 ,"Skovveien 4, Oslo",52 ,Oslo
Totalpris: 3 925 815 ,"Trondheimsveien 64, Oslo",30 ,Oslo
Totalpris: 16 308 400 ,"Thomas Heftyes gate 46A, Oslo",201 ,Oslo
Totalpris: 4 100 268 ,"Smalgangen 24, Oslo",56 ,Oslo
Totalpris: 7 586 000 ,"Sigurd Hoels vei 49, Oslo",82 ,Oslo
Totalpris: 6 571 640 ,"Sollerudveien 1B, Oslo",66 ,Oslo
Totalpris: 6 185 500 ,"Akersbakken 39, Oslo",63 ,Oslo
Totalpris: 7 877 421 ,"Valhallveien 9, Oslo",121 ,Oslo
Totalpris: 4 652 109 ,"Vøyensvingen 7, Oslo",42 ,Oslo
Totalpris: 9 132 490 ,"Bøkkerveien 28, Oslo",93 ,Oslo
Totalpris: 5 250 085 ,"Vassfaret 6, Oslo",54 ,Oslo
Totalpris: 10 760 568 ,"Børsteveien 33 (leil 7006 Hus 7), Oslo",94 ,Oslo
Totalpris: 4 126 123 ,"Observatoriegata 12, Oslo",44 ,Oslo
Totalpris: 9 934 621 ,"Ivar Knutsons vei 50, Oslo",105 ,Oslo
Totalpris: 5 976 621 ,"Welhavens gate 12, Oslo",51 ,Oslo
Totalpris: 5 603 514 ,"Ragna Nielsens vei 17, Oslo",67 ,Oslo
Totalpris: 5 141 088 ,"Øvrefoss 10J, Oslo",50 ,Oslo
Totalpris: 8 723 400 ,"MARIDALSVEIEN 17, Oslo",74 ,Oslo
Totalpris: 10 219 250 ,"Kampheimveien 12E, Oslo",105 ,Oslo
Totalpris: 5 038 723 ,"Griffenfeldts gate 12D, Oslo",54 ,Oslo
Totalpris: 5 145 091 ,"Herslebs gate 19, Oslo",53 ,Oslo
Totalpris: 5 269 150 ,"Sinsenveien 45 B, Oslo",41 ,Oslo
Totalpris: 8 216 318 ,"Selvbyggerveien 211, Oslo",150 ,Oslo
Totalpris: 9 483 075 ,"Hovinveien 37D, Oslo",87 ,Oslo
Totalpris: 4 352 240 ,"Klosterheimveien 24, Oslo",67 ,Oslo
Totalpris: 9 520 040 ,"Møllefaret 68F, Oslo",112 ,Oslo
Totalpris: 5 221 351 ,"Rødbergveien 2A, Oslo",64 ,Oslo
Totalpris: 3 547 814 ,"Paal Bergs vei 10, Oslo",45 ,Oslo
Totalpris: 7 945 575 ,"Sigurd Hoels vei 108, Oslo",73 ,Oslo
Fellesutg.: 4 490 ,"Vetlandsveien 74B, Oslo",72 ,Oslo
Totalpris: 5 494 949 ,"Oscars gate 19, Oslo",37 ,Oslo
Totalpris: 5 957 735 ,"Enoks vei 33, Oslo",67 ,Oslo
Totalpris: 5 013 229 ,"Bjerregaards gate 43, Oslo",37 ,Oslo
Totalpris: 5 185 973 ,"Toftes gate 47 A, Oslo",51 ,Oslo
Totalpris: 7 994 096 ,"Bygdøy allé 17 - Inngang Niels Juels gate., Oslo",73 ,Oslo
Totalpris: 3 534 698 ,"Odvar Solbergs vei 136, Oslo",88 ,Oslo
Totalpris: 8 415 490 ,"Bøkkerveien 24C, Oslo",81 ,Oslo
Totalpris: 5 266 240 ,"Ombergveien 8, Oslo",53 ,Oslo
Totalpris: 6 193 457 ,"Siebkes gate 4D, Oslo",62 ,Oslo
Totalpris: 8 076 475 ,"Frichs gate 2A, Oslo",68 ,Oslo
Totalpris: 5 654 121 ,"Jordbærveien 53, Oslo",61 ,Oslo
Totalpris: 11 788 500 ,"Wilhelm Færdens vei 2A, Oslo",109 ,Oslo
Totalpris: 5 894 990 ,"Huitfeldts gate 30, Oslo",50 ,Oslo
Totalpris: 4 038 566 ,"Veitvetveien 6E, Oslo",70 ,Oslo
Totalpris: 3 811 779 ,"Schweigaards gate 67B, Oslo",44 ,Oslo
Totalpris: 5 022 813 ,"Løvsetdalen 12B, Oslo",64 ,Oslo
Totalpris: 14 830 388 ,"Johannes Bruns gate 12C, Oslo",114 ,Oslo
Totalpris: 5 458 085 ,"Vogts gate 15, Oslo",63 ,Oslo
Totalpris: 7 707 871 ,"Østreheimsveien 1B, Oslo",65 ,Oslo
Totalpris: 5 135 900 ,"Bjerregaards gate 29H, Oslo",47 ,Oslo
Totalpris: 4 873 221 ,"Fagerheimgata 14, Oslo",50 ,Oslo
Totalpris: 4 502 475 ,"Wilhelms gate 3 - Andel 25, Oslo",30 ,Oslo
Totalpris: 6 714 990 ,"Huitfeldts gate 30, Oslo",70 ,Oslo
Totalpris: 8 980 390 ,"Gunnar Schjelderups vei 11E, Oslo",89 ,Oslo
Totalpris: 10 660 900 ,"Aslakveien 28B, Oslo",91 ,Oslo
Totalpris: 4 967 221 ,"Jess Carlsens gate 4, Oslo",47 ,Oslo
Totalpris: 4 270 640 ,"Nordtvetveien 8, Oslo",71 ,Oslo
Totalpris: 4 729 990 ,"Otto Sogns vei 13, Oslo",71 ,Oslo
Totalpris: 23 280 773 ,"Kavringen Brygge 3, Oslo",100 ,Oslo
Totalpris: 3 656 855 ,"Stjerneblokkveien 13, Oslo",64 ,Oslo
Totalpris: 16 613 842 ,"Frydenbergveien 19, Oslo",110 ,Oslo
Totalpris: 13 613 842 ,"Frydenbergveien 19, Oslo",89 ,Oslo
Totalpris: 11 213 842 ,"Frydenbergveien 19, Oslo",66 ,Oslo
Totalpris: 20 459 650 ,"Lille Frogner allé 8A, Oslo",126 ,Oslo
Totalpris: 10 613 842 ,"Frydenbergveien 19, Oslo",80 ,Oslo
Totalpris: 9 998 183 ,"Nordliveien 2E, Oslo",98 ,Oslo
Totalpris: 4 734 872 ,"Jolly Kramer-Johansens gate 4, Oslo",50 ,Oslo
Totalpris: 3 075 650 ,"Mikkel Revs vei 2, Oslo",35 ,Oslo
Totalpris: 4 173 171 ,"Hekkveien 7, Oslo",36 ,Oslo
Totalpris: 3 329 783 ,"Asperudåsen 39, Oslo",39 ,Oslo
Totalpris: 15 998 400 ,"Frederik Stangs gate 41B, Oslo",134 ,Oslo
Totalpris: 13 222 700 ,"Slyngveien 21 D, Oslo",114 ,Oslo
Totalpris: 7 184 310 ,"Vibes gate 16B, Oslo",73 ,Oslo
Totalpris: 4 042 365 ,"Schønings gate 34, Oslo",31 ,Oslo
Fellesutg.: 3 420 ,"Eiriks gate 2C, Oslo",79 ,Oslo
Totalpris: 7 705 203 ,"Wilhelm Færdens vei 7 B, Oslo",65 ,Oslo
Totalpris: 5 971 016 ,"Seilduksgata 6B, Oslo",61 ,Oslo
Totalpris: 5 837 900 ,"Pilestredet Park 11C, Oslo",50 ,Oslo
Totalpris: 15 139 490 ,"Dovresvingen 9A, Oslo",158 ,Oslo
Totalpris: 8 352 296 ,"Dynekilgata 9C, Oslo",105 ,Oslo
Totalpris: 5 997 420 - 8 791 570 ,"Sinsenveien 47, Oslo",52 - 87 ,Oslo
Totalpris: 3 442 422 ,"Mor Go'hjertas vei 23, Oslo",23 ,Oslo
Totalpris: 16 933 000 ,"Skogholtveien 32B, Oslo",182 ,Oslo
Totalpris: 5 909 000 ,"Grensesvingen 7, Oslo",44 ,Oslo
Totalpris: 17 997 599 ,"Operagata 67A, Oslo",100 ,Oslo
Totalpris: 5 699 450 ,"Krafts gate 2B, Oslo",55 ,Oslo
Totalpris: 14 612 500 ,"Fabritiusalleen 7, Oslo",101 ,Oslo
Totalpris: 6 989 080 ,"Søren Jaabæks gate 10A, Oslo",62 ,Oslo
Totalpris: 5 085 390 ,"Messepromenaden 4, Oslo",72 ,Oslo
Totalpris: 3 948 287 ,"Stockfleths gate 36, Oslo",39 ,Oslo
Totalpris: 8 968 481 ,"Nøkleveien 21, Oslo",47 ,Oslo
Totalpris: 4 540 011 ,"Fyrstikkbakken 6, Oslo",118 ,Oslo
Totalpris: 8 201 000 ,"Tromsøgata 3B, Oslo",74 ,Oslo
Totalpris: 14 260 300 - 14 560 300 ,"Engveien 20, Oslo",82 ,Oslo
Totalpris: 5 714 400 ,"Aslakveien 13B, Oslo",191 - 200 ,Oslo
Totalpris: 6 130 500 ,"Lørenvangen 4B, Oslo",68 ,Oslo
Totalpris: 4 706 820 ,"Spireaveien 12 C, Oslo",60 ,Oslo
Totalpris: 15 412 260 ,"Bygdøy allé 73B, Oslo",48 ,Oslo
Totalpris: 6 306 994 ,"Grenseveien 54, Oslo",170 ,Oslo
Totalpris: 5 141 881 ,"RUGVEIEN 67, Oslo",61 ,Oslo
Totalpris: 4 982 150 ,"HØYENHALLVEIEN 2 B, Oslo",69 ,Oslo
Totalpris: 6 480 096 ,"Vibes gate 16 B, Oslo",66 ,Oslo
Totalpris: 9 006 758 ,"Rasmus Winderens vei 37, Oslo",54 ,Oslo
Totalpris: 9 981 332 ,"Fougstads gate 8 B, Oslo",80 ,Oslo
Totalpris: 17 944 500 ,"Kanalen 3, Oslo",93 ,Oslo
Totalpris: 7 298 750 ,"Sørkedalsveien 9E, Oslo",92 ,Oslo
Totalpris: 4 256 053 ,"LØVSETDALEN 12 B, Oslo",68 ,Oslo
Totalpris: 4 174 506 ,"SVARTDALSVEIEN 50, Oslo",64 ,Oslo
Totalpris: 11 528 554 ,"Akebakkeskogen 21, Oslo",55 ,Oslo
Totalpris: 5 080 446 ,"Sjampinjongstien 7, Oslo",108 ,Oslo
Totalpris: 3 323 921 ,"Dalehaugen 8, Oslo",44 ,Oslo
Totalpris: 14 881 640 ,"Morgedalsvegen 2, Oslo",27 ,Oslo
Totalpris: 17 025 900 ,"Schønings gate 23, Oslo",209 ,Oslo
Totalpris: 9 804 232 ,"Rathkes gate 5B, Oslo",146 ,Oslo
Totalpris: 4 674 200 ,"Hans Nordahls gate 18, Oslo",98 ,Oslo
Totalpris: 13 243 000 ,"Vestveien 62, Oslo",45 ,Oslo
Andel ∙ Leilighet,"Låveveien 70, Oslo",169 ,Oslo
Totalpris: 8 927 990 ,"Skanseveien 6B, Oslo",158 ,Oslo
Totalpris: 5 997 250 ,"Fredensborgveien 27C, Oslo",53 ,Oslo
Totalpris: 7 267 638 ,"Sofienberggata 3A, Oslo",74 ,Oslo
Totalpris: 16 923 400 ,"Middelthuns gate 17G, Oslo",98 ,Oslo
Totalpris: 19 732 250 ,"Frøensalléen 2A, Oslo",195 ,Oslo
Totalpris: 8 497 750 ,"Badebakken 28, Oslo",80 ,Oslo
Totalpris: 4 944 035 ,"Hegermanns gate 10A, Oslo",54 ,Oslo
Totalpris: 5 750 750 ,"Bergensgata 15C, Oslo",56 ,Oslo
Totalpris: 12 618 250 ,"Wilhelm Færdens vei 1C, Oslo",123 ,Oslo
Totalpris: 5 955 900 ,"Harbitzalléen 39, Oslo",54 ,Oslo
Totalpris: 5 122 140 ,"Sømveien 1B, Oslo",49 ,Oslo
Totalpris: 8 509 325 ,"Sigurd Hoels vei 100, Oslo",91 ,Oslo
Totalpris: 7 278 221 ,"Freserveien 25, Oslo",77 ,Oslo
Totalpris: 9 030 270 ,"St. Edmunds vei 39D, Oslo",92 ,Oslo
Totalpris: 3 991 169 ,"Sverdrups gate 7A, Oslo",31 ,Oslo
Totalpris: 4 941 408 ,"Sannergata 25, Oslo",53 ,Oslo
Totalpris: 12 823 400 ,"Husebybakken 37A, Oslo",146 ,Oslo
Totalpris: 5 126 390 ,"Gunnar Schjelderups vei 11F, Oslo",46 ,Oslo
Totalpris: 5 443 621 ,"Grusveien 42, Oslo",72 ,Oslo
Totalpris: 9 943 740 ,"Bekkefaret 13C, Oslo",135 ,Oslo
Totalpris: 10 251 240 ,"Drammensveien 113, Oslo",107 ,Oslo
Totalpris: 14 870 201 ,"Eckersbergs gate 6, Oslo",140 ,Oslo
Totalpris: 4 751 018 ,"Finnmarkgata 46, Oslo",57 ,Oslo
Totalpris: 4 081 875 ,"Kjølberggata 13A, Oslo",31 ,Oslo
Totalpris: 3 994 636 ,"Uelands gate 57G, Oslo",30 ,Oslo
Totalpris: 18 133 000 ,"Skogholtveien 28 C og D, Oslo",192 ,Oslo
Totalpris: 2 949 949 ,"Ammerudhellinga 78, Oslo",34 ,Oslo
Totalpris: 12 725 298 ,"Hegdehaugsveien 11A, Oslo",147 ,Oslo
Totalpris: 17 405 740 ,"Lysehagan 12B, Oslo",198 ,Oslo
Totalpris: 3 485 621 ,"Henrik Sørensens vei 5, Oslo",46 ,Oslo
Totalpris: 19 170 740 ,"Nedre Skogvei 1A, Oslo",193 ,Oslo
Totalpris: 26 670 500 ,"Solveien 49B og C, Oslo",323 ,Oslo
Totalpris: 4 524 440 ,"Smalgangen 20, Oslo",58 ,Oslo
Totalpris: 5 751 640 ,"Skovveien 3, Oslo",50 ,Oslo
Totalpris: 5 747 914 ,"Thereses gate 31J (vender mot bakgård), Oslo",53 ,Oslo
Totalpris: 4 944 447 ,"Hans Barliens gate 1F, Oslo",48 ,Oslo
Totalpris: 9 207 200 ,"Uranienborgveien 11 A, Oslo",80 ,Oslo
Totalpris: 3 994 314 ,"Galgeberg 3L, Oslo",35 ,Oslo
Totalpris: 10 070 506 ,"Skrenten 21A, Oslo",108 ,Oslo
Totalpris: 5 126 240 ,"Nycoveien 14, Oslo",43 ,Oslo
Totalpris: 3 884 779 ,"Vøyensvingen 14D, Oslo",32 ,Oslo
Totalpris: 4 149 088 ,"Gjøvikgata 1B, Oslo",36 ,Oslo
Totalpris: 3 868 900 ,"WESTYE EGEBERGS GATE 7C, Oslo",25 ,Oslo
Totalpris: 8 960 568 - 10 960 568 ,"Løren botaniske hus 7, Slåttehumla brl. Visningsleilighet i Børsteveien 29, Oslo",93 - 107 ,Oslo
Totalpris: 6 969 588 ,"Vøyensvingen 17, Oslo",72 ,Oslo
Totalpris: 6 519 650 ,"Lybekkveien 39 B, Oslo",82 ,Oslo
Totalpris: 5 474 451 ,"Schouterrassen 13, Oslo",51 ,Oslo
Totalpris: 10 931 900 ,"Thurmanns gate 10C, Oslo",95 ,Oslo
Totalpris: 5 561 178 ,"Rathkes gate 12A, Oslo",48 ,Oslo
Totalpris: 11 961 750 ,"Bauneveien 1A, Oslo",125 ,Oslo
Totalpris: 19 488 218 ,"Odins gate 30E, Oslo",167 ,Oslo
Totalpris: 6 392 054 ,"Schultz' gate 10, Oslo",54 ,Oslo
Totalpris: 15 898 400 ,"Åsstubben 1, Oslo",134 ,Oslo
Totalpris: 8 799 711 ,"Brettevilles gate 29 A, Oslo",105 ,Oslo
Totalpris: 4 190 415 ,"Grefsenkollveien 12B, Oslo",45 ,Oslo
Totalpris: 11 942 250 ,"Lillevannsveien 25G, Oslo",125 ,Oslo
Totalpris: 4 538 518 ,"Malerhaugveien 32 B, Oslo",42 ,Oslo
Totalpris: 3 845 881 ,"Martin Skatvedts vei 14, Oslo",58 ,Oslo
Totalpris: 5 327 670 ,"Sinsenveien 45C, Oslo",35 ,Oslo
Totalpris: 12 824 140 ,"Bygdøy allé 56C, Oslo",112 ,Oslo
Totalpris: 18 470 500 ,"Rønningveien 2C, Oslo",223 ,Oslo
Totalpris: 6 724 650 ,"Oberst Rodes vei 67, Oslo",69 ,Oslo
Totalpris: 7 082 950 ,"Drammensveien 115B, Oslo",72 ,Oslo
Totalpris: 6 468 400 ,"Ole Messelts vei 7, Oslo",91 ,Oslo
Totalpris: 5 145 500 ,"Nybyggerveien 28A, Oslo",102 ,Oslo
Totalpris: 6 915 866 ,"Landerokollen 66, Oslo",83 ,Oslo
Totalpris: 2 997 881 ,"Teisenveien 43, Oslo",24 ,Oslo
Totalpris: 6 561 240 ,"President Harbitz' gate 2B, Oslo",55 ,Oslo
Totalpris: 3 829 303 ,"Asperudlia 77, Oslo",59 ,Oslo
Totalpris: 3 905 881 ,"Christoffer Hellums vei 9, Oslo",59 ,Oslo
Totalpris: 5 254 125 ,"Norbygata 17, Oslo",51 ,Oslo
Totalpris: 16 213 870 ,"Kjelsåsveien 124, Oslo",159 ,Oslo
Totalpris: 5 138 170 ,"Fagerheimgata 6, Oslo",53 ,Oslo
Totalpris: 7 790 650 ,"Bjerregaards gate 58A, Oslo",71 ,Oslo
Totalpris: 4 499 656 ,"Nobels gate 23, Oslo",35 ,Oslo
Totalpris: 9 671 919 ,"Sofies gate 56 B, Oslo",98 ,Oslo
Totalpris: 7 100 596 ,"Rosteds gate 11, Oslo",71 ,Oslo
Totalpris: 4 982 638 ,"Eikelundveien 28, Oslo",67 ,Oslo
Totalpris: 11 910 500 ,"Grefsenveien 127B, Oslo",140 ,Oslo
Totalpris: 14 053 400 ,"Langsetveien 52, Oslo",121 ,Oslo
Totalpris: 8 162 050 ,"Eilert Sundts gate 40, Oslo",72 ,Oslo
Totalpris: 5 884 770 ,"Hans Nielsen Hauges gate 29 B, Oslo",59 ,Oslo
Totalpris: 4 100 604 ,"Frydens gate 4A, Oslo",39 ,Oslo
Totalpris: 3 997 768 ,"Christian Michelsens gate 15A, Oslo",49 ,Oslo
Totalpris: 5 384 621 ,"Pilestredet 53C (Vendt mot bakgård), Oslo",48 ,Oslo
Totalpris: 11 575 444 ,"Neuberggata 5B, Oslo",98 ,Oslo
Totalpris: 15 067 650 - 15 667 650 ,"Ørakerstien 32-42, Oslo",164 ,Oslo
Totalpris: 6 257 600 ,"Vallegata 14B, Oslo",58 ,Oslo
Totalpris: 8 715 056 ,"Bøkkerveien 14C, Oslo",96 ,Oslo
Totalpris: 10 625 064 ,"Løkkegangen 3, Oslo",84 ,Oslo
Totalpris: 5 339 954 ,"Københavngata 4C, Oslo",58 ,Oslo
Totalpris: 4 351 204 ,"Toftes gate 26, Oslo",48 ,Oslo
Totalpris: 8 712 700 ,"Observatoriegata 23, Oslo",80 ,Oslo
Totalpris: 5 169 144 ,"Vestfoldgata 1, Oslo",56 ,Oslo
Totalpris: 7 390 570 ,"Frognerveien 42 C, Oslo",60 ,Oslo
Totalpris: 18 931 750 ,"Bernhard Herres vei 48, Oslo",212 ,Oslo
Totalpris: 8 118 000 ,"Engebråtveien 7A, Oslo",70 ,Oslo
Totalpris: 8 989 200 ,"Rathkes gate 17, Oslo",98 ,Oslo
Totalpris: 9 174 750 ,"Innspurten 6A, Oslo",91 ,Oslo
Totalpris: 5 392 150 ,"Waldemar Thranes gate 16, Oslo",60 ,Oslo
Totalpris: 5 989 611 ,"Torshovgata 14B, Oslo",63 ,Oslo
Totalpris: 6 008 881 ,"Mekanikerveien 3, Oslo",73 ,Oslo
Totalpris: 11 146 759 ,"Ansgar Sørlies vei 30, Oslo",92 ,Oslo
Totalpris: 4 188 981 ,"Kvartsveien 3, Oslo",53 ,Oslo
Totalpris: 7 729 015 ,"Solheimgata 3B, Oslo",67 ,Oslo
Totalpris: 6 265 411 ,"Seilduksgata 1B, Oslo",60 ,Oslo
Totalpris: 4 571 700 ,"Olaf Bulls vei 38, Oslo",67 ,Oslo
Totalpris: 6 096 040 ,"Steenstrups gate 17B, Oslo",68 ,Oslo
Totalpris: 5 099 221 ,"Nylænde 23, Oslo",76 ,Oslo
Totalpris: 6 957 969 ,"Grimstadgata 23 F, Oslo",66 ,Oslo
Totalpris: 5 514 981 ,"Bentsegata 15, Oslo",55 ,Oslo
Totalpris: 11 788 740 ,"Huldreveien 6F, Oslo",137 ,Oslo
Totalpris: 3 943 881 ,"Solbergliveien 104 B, Oslo",65 ,Oslo
Totalpris: 4 397 750 ,"Frydenbergveien 58, Oslo",38 ,Oslo
Totalpris: 4 762 457 ,"Trondheimsveien 83A, Oslo",48 ,Oslo
Totalpris: 4 185 346 ,"Nåkkves vei 1, Oslo",67 ,Oslo
Totalpris: 4 990 200 ,"Monrads gate 17B, Oslo",53 ,Oslo
Totalpris: 4 834 518 ,"Sandakerveien 16 D, Oslo",35 ,Oslo
Totalpris: 25 770 614 ,"Fritzners gate 22., Oslo",201 ,Oslo
Totalpris: 4 746 431 ,"Høybråtenveien 3C, Oslo",103 ,Oslo
Totalpris: 12 855 489 ,"Eugenies gate 19, Oslo",94 ,Oslo
Totalpris: 6 775 900 ,"Nordahl Bruns gate 15C, Oslo",65 ,Oslo
Totalpris: 33 844 500 ,"Stjerneveien 38, Oslo",264 ,Oslo
Totalpris: 6 907 940 ,"Selvbyggerveien 28, Oslo",68 ,Oslo
Totalpris: 9 594 581 ,"Eikelundveien 26B, Oslo",104 ,Oslo
Totalpris: 9 602 050 ,"Årvollveien 68J, Oslo",100 ,Oslo
Totalpris: 7 073 500 ,"Bernt Knudsens vei 48, Oslo",80 ,Oslo
Totalpris: 9 020 000 ,"Brekkeveien 14, Oslo",92 ,Oslo
Totalpris: 9 194 581 ,"Disengrenda 30D, Oslo",123 ,Oslo
Totalpris: 5 228 500 ,"Eckersbergs gate 30, Oslo",46 ,Oslo
Totalpris: 5 643 369 ,"Welhavens gate 2A, Oslo",45 ,Oslo
Totalpris: 9 297 368 ,"Gustav Vigelands vei 3B, Oslo",88 ,Oslo
Totalpris: 9 923 200 ,"Hoffsveien 62A, Oslo",118 ,Oslo
Totalpris: 9 193 945 ,"Jonas Reins gate 4, Oslo",82 ,Oslo
Totalpris: 4 262 417 ,"Bergsliens gate 11D, Oslo",34 ,Oslo
Totalpris: 14 678 000 ,"Mylskerudveien 32, Oslo",232 ,Oslo
Totalpris: 4 478 600 ,"Rødbergveien 35, Oslo",53 ,Oslo
Totalpris: 12 208 300 ,"Kongleveien 45 C, Oslo",92 ,Oslo
Totalpris: 11 603 240 ,"Skogbrynet 13C, Oslo",179 ,Oslo
Totalpris: 8 559 990 ,"Årvollveien 70, Oslo",92 ,Oslo
Totalpris: 3 992 221 ,"Lars husmanns gate 3, Oslo",35 ,Oslo
Totalpris: 4 275 107 ,"Kjelsåsveien 8C, Oslo",39 ,Oslo
Totalpris: 4 212 221 ,"Jerikoveien 13C, Oslo",103 ,Oslo
Totalpris: 4 063 068 ,"Mekanikerveien 24, Oslo",50 ,Oslo
Totalpris: 4 304 221 ,"Dr. Dedichens vei 32, Oslo",80 ,Oslo
Totalpris: 11 928 200 ,"Ole Bulls gate 39, Oslo",123 ,Oslo
Totalpris: 6 060 384 ,"Landingsveien 118, Oslo",80 ,Oslo
Totalpris: 21 033 000 ,"Florabakken 2A, Oslo",248 ,Oslo
Totalpris: 5 354 621 ,"Solbergliveien 106B, Oslo",70 ,Oslo
Totalpris: 5 439 750 ,"Østerliveien 39A, Oslo",71 ,Oslo
Totalpris: 3 678 240 ,"Kalbakkveien 13C, Oslo",70 ,Oslo
Totalpris: 12 070 950 ,"Bekkefaret 12, Oslo",131 ,Oslo
Totalpris: 6 517 310 ,"Ulvenveien 125A, Oslo",90 ,Oslo
Totalpris: 20 519 050 ,"Nils Lauritssøns vei 33, Oslo",243 ,Oslo
Totalpris: 6 009 490 ,"Langes gate 11 A, Oslo",50 ,Oslo
Totalpris: 5 095 881 ,"Kranveien 13, Oslo",70 ,Oslo
Totalpris: 4 149 431 ,"Haugerudveien 74, Oslo",59 ,Oslo
Totalpris: 6 662 700 ,"Grønvoll allé 22, Oslo",60 ,Oslo
Totalpris: 15 381 240 ,"Ringshusveien 24A, Oslo",218 ,Oslo
Totalpris: 6 791 381 ,"Skjelderups gate 16 B, Oslo",74 ,Oslo
Totalpris: 3 662 221 ,"Trøndergata 8, Oslo",32 ,Oslo
Totalpris: 5 024 701 - 10 547 672 ,"Ulvenkroken borettslag 1. ST2. Mulighet for prisreduskjon med 20% Bostart på utvalgte leiligheter, Oslo",44 - 102 ,Oslo
Totalpris: 7 484 617 ,"Eugenies gate 3A, Oslo",62 ,Oslo
Totalpris: 4 111 737 ,"Radarveien 64, Oslo",55 ,Oslo
Totalpris: 6 345 871 ,"Gustav Jensens gate 2, Oslo",74 ,Oslo
Totalpris: 5 833 492 ,"Harald Hårfagres gate 17, Oslo",50 ,Oslo
Totalpris: 7 836 377 ,"Sandakerveien 56 C, Oslo",70 ,Oslo
Totalpris: 3 875 981 ,"Odvar Solbergs vei 208, Oslo",89 ,Oslo
Totalpris: 17 938 707 ,"Lybekkveien 25 B, Oslo",296 ,Oslo
Totalpris: 9 780 170 ,"Hans Nielsen Hauges gate 37G, Oslo",87 ,Oslo
Totalpris: 6 791 742 ,"Stensgata 28B, Oslo",81 ,Oslo
Totalpris: 12 813 776 ,"Thereses gate 22 C, Oslo",136 ,Oslo
Totalpris: 5 620 088 ,"Sandakerveien 67G, Oslo",70 ,Oslo
Totalpris: 16 615 450 ,"Ullernkollen 1 H, Oslo",172 ,Oslo
Totalpris: 6 029 877 ,"Ullevålsveien 7, Oslo",61 ,Oslo
Totalpris: 8 751 185 ,"Grefsenkollveien 12A, Oslo",114 ,Oslo
Totalpris: 20 418 000 ,"Dagaliveien 20B, Oslo",288 ,Oslo
Totalpris: 12 013 000 ,"Kleiva 16B, Oslo",194 ,Oslo
Totalpris: 2 996 256 ,"Stavangergata 46A, Oslo",18 ,Oslo
Totalpris: 9 960 900 ,"Vardeheimveien 18C, Oslo",153 ,Oslo
Totalpris: 8 218 600 - 9 086 120 ,"Sinsenveien 45, Oslo",81 - 102 ,Oslo
Totalpris: 4 725 728 ,"Kirkeveien 53, Oslo",42 ,Oslo
Totalpris: 16 913 740 ,"Gaustadveien 1A, Oslo",226 ,Oslo
Totalpris: 10 110 721 ,"Skigardveien 32, Oslo",146 ,Oslo
Totalpris: 4 589 981 ,"Skøyenkroken 7, Oslo",64 ,Oslo
Totalpris: 4 490 111 ,"Paal Bergs vei 7, Oslo",72 ,Oslo
Totalpris: 14 881 250 ,"Stasjonsveien 28 A, Oslo",269 ,Oslo
Totalpris: 4 093 881 ,"Kvartsveien 3, Oslo",53 ,Oslo
Totalpris: 10 988 365 ,"Vesteråsveien 28, Oslo",142 ,Oslo
Totalpris: 5 496 215 ,"Herslebs gate 17C, Oslo",59 ,Oslo
Totalpris: 4 126 881 ,"Myrerskogveien 15, Oslo",40 ,Oslo
Totalpris: 10 424 250 ,"Holtveien 20B, Oslo",128 ,Oslo
Totalpris: 10 414 650 ,"Langerudsvingen 18A, Oslo",163 ,Oslo
Totalpris: 6 980 900 ,"Sandstuveien 35, Oslo",93 ,Oslo
Totalpris: 5 993 563 ,"Pilotveien 8, Oslo",75 ,Oslo
Totalpris: 17 394 490 ,"John Brandts vei 41, Oslo",201 ,Oslo
Totalpris: 4 818 500 ,"Hans Nordahls gate 74, Oslo",40 ,Oslo
Totalpris: 7 135 492 ,"Middelthuns gate 17C, Oslo",44 ,Oslo
Totalpris: 19 495 500 ,"Aschehougs vei 31, Oslo",179 ,Oslo
Totalpris: 7 101 410 ,"Holbergs gate 3, Oslo",65 ,Oslo
Totalpris: 5 182 621 ,"Rugveien 59, Oslo",69 ,Oslo
Totalpris: 5 518 400 ,"Thorvald Meyers gate 34 A, Oslo",54 ,Oslo
