trans_id,lang,translation
"Haapanatie",sv,"Bläsandsvägen"
"Gransinmäki",sv,"Gransbacken"
"Sturenkatu 38",fi,"Sturenkatu 38"
"Länsituuli",sv,"Västanvinden"
"Kauklahti - Masala - Kirkkonummi",fi,"Kauklahti - Masala - Kirkkonummi"
"Pasila",fi,"Pasila"
"Koivu-Mankkaan tie",fi,"Koivu-Mankkaan tie"
"Kamppi- Latokaski",fi,"Kamppi- Latokaski"
"Maamonlahdentie",fi,"Maamonlahdentie"
"Ruukinranta",sv,"Brukstranden"
"Lehmuslehdontie",sv,"Lehmuslehdontie"
"Karaniityntie",fi,"Karaniityntie"
"Annilantie",sv,"Andbyvägen"
"Asema-aukio-Katajah",sv,"Stationspl-Enåsen"
"Käpylä - Koskelan halli",sv,"Kottby - Forsby hall"
"Piispanristi",fi,"Piispanristi"
"Yliskallio",fi,"Yliskallio"
"Kuntak-Karskog",fi,"Kuntak-Karskog"
"Jousimiehentie 10",fi,"Jousimiehentie 10"
"Nevatie",sv,"Nevavägen"
"Painiityntie",sv,"Pajvägen"
"Merikotkantie",sv,"Havsörnsvägen"
"Ohdaketie",fi,"Ohdaketie"
"Neulastie",sv,"Barrvägen"
"Kaskilaaksontie",sv,"Svedjedalsvägen"
"Angervotie 12",sv,"Spireavägen 12"
"Professorintie",fi,"Professorintie"
"Vesilinnuntie",sv,"Sjöfågelvägen"
"Lähdekuja",sv,"Lähdekuja"
"Vanha Jorvaksentie",fi,"Vanha Jorvaksentie"
"Martinlaakson term.",sv,"Mårtensdals term."
"Laurinniitynt.",fi,"Laurinniitynt."
"Isonnevankuja",fi,"Isonnevankuja"
"Ylä-Mankkaa",fi,"Ylä-Mankkaa"
"Ylä-Fallin tie 30",sv,"Övre Fallsvägen 30"
"Rautat-Kerava",sv,"Järnv-Kervo"
"Herttoniemi (M)-Tammisalo-Roihuvuori-Itäkeskus(M)",sv,"Hertonäs (M)-Tammelund-Kasberget-Östra centrum(M)"
"Siilitie(M)-Latokart",sv,"Igelkotts(M)-Ladugår"
"Alppikatu 9",fi,"Alppikatu 9"
"Malmi-Ke",sv,"Malm-Kervo"
"Hattulantie",fi,"Hattulantie"
"Hotelli Matinlahti",fi,"Hotelli Matinlahti"
"Alaniityntie",fi,"Alaniityntie"
"Nikkilän la-as.",fi,"Nikkilän la-as."
"Königstedt",sv,"Königstedt"
"Hepomurto",sv,"Hepmort"
"Solisevantie",fi,"Solisevantie"
"Tiistilä",sv,"Distby"
"Haukkalampi",fi,"Haukkalampi"
"Hernetie",fi,"Hernetie"
"Haapajärvi",fi,"Haapajärvi"
"Evitskogintie",fi,"Evitskogintie"
"Nordbontie",fi,"Nordbontie"
"Luolamiehentie",sv,"Grottmannavägen"
"Martinniitty",sv,"Mårtensängen"
"Mehuasema",sv,"Musteriet"
"Punahilkantie 2",fi,"Punahilkantie 2"
"Lauttasaari-Katajah.",fi,"Lauttasaari-Katajah."
"Pitäjänmäen Kirjasto",fi,"Pitäjänmäen Kirjasto"
"Porthaninrinne",sv,"Porthansbrinken"
"Torkkelinkuja",sv,"Torkelsgränd"
"Roihuvuoren ala-aste",sv,"Roihuvuoren ala-aste"
"Bondarbyntie",sv,"Bondarbyvägen"
"Sihteerintie",fi,"Sihteerintie"
"Saariniemenkatu",fi,"Saariniemenkatu"
"Hernesaarenranta",fi,"Hernesaarenranta"
"Rajakulmantie",fi,"Rajakulmantie"
