trans_id,lang,translation
"Fregattitie 19",sv,"Fregattvägen 19"
"Ludviginkatu",fi,"Ludviginkatu"
"Laukkipäänpolku",sv,"Blässtigen"
"Kuussillantie",sv,"Sexbrovägen"
"Muskettikuja",sv,"Muskötgränden"
"Nikkilä-Talma",fi,"Nikkilä-Talma"
"Leppävaara-Pajamäki",sv,"Alberga-Smedjebacka"
"Martinlaakso - Vantaanpuisto - Petas - Kivistö",sv,"Mårtensdal - Vandaparken -  Petas - Kivistö"
"Rudolf Steiner C",sv,"Rudolf Steiner C"
"Turvapolku",sv,"Värnstigen"
"Kivensyrjä",sv,"Stenliden"
"Pikkuniementie",fi,"Pikkuniementie"
"Iltatähdenkuja",fi,"Iltatähdenkuja"
"Puuskaniementie 18",fi,"Puuskaniementie 18"
"Kuntakeskus-Siuntion matkahuolto-Uusikylä(-Lohja)",fi,"Kuntakeskus-Siuntion matkahuolto-Uusikylä(-Lohja)"
"Uimarannantie",sv,"Simstrandsvägen"
"Kaskela",sv,"Kaskela"
"Saunamäentie",sv,"Bastubacksvägen"
"K-juna",sv,"K-tåget"
"Itäkeskus(M)-Viikki-Oulunkylä",sv,"Östra centrum(M)-Vik-Åggelby"
"LT2-Koskelan halli",fi,"LT2-Koskelan halli"
"Itäkeskus(M) - Puotila - Mellunkylä - Myllypuro",fi,"Itäkeskus(M) - Puotila - Mellunkylä - Myllypuro"
"Kuusiniementie",fi,"Kuusiniementie"
"Maraton",fi,"Maraton"
"Kipparlahti",sv,"Skepparviken"
"Ajurinkatu",sv,"Formansgatan"
"Firanlähteentie",sv,"Firanlähteentie"
"Ooppera-Olympiaterm.",sv,"Operan-Olympiaterm."
"Nihtimäentie",fi,"Nihtimäentie"
"Vaakkola",fi,"Vaakkola"
"Sahratie",sv,"Årdervägen"
"Leppävaara - Mäkkylä - Pitäjänmäki",fi,"Leppävaara - Mäkkylä - Pitäjänmäki"
"Hakamäentie",sv,"Hagbacksvägen"
"Ooppera - Sörnäinen (M) - Käpylä",sv,"Operan - Sörnäs (M) - Kottby"
"Leinelän as.",sv,"Lejle st."
"Jokela-Riihimäki",sv,"Jokela-Riihimäki"
"Jussla",sv,"Jussla"
"Puoshaantie",sv,"Båtshaksvägen"
"Tenholantie 7",sv,"Tenalavägen 7"
"Laajakorvenkuja",sv,"Bredkärrsgränden"
"Eira-Munkkivuo",fi,"Eira-Munkkivuo"
"Sipoonlahden koulu 3",fi,"Sipoonlahden koulu 3"
"Tunnelitie",sv,"Tunnelvägen"
"Puistolan raitti",sv,"Parkstads bygata"
"Ravalsintie",sv,"Ravalsvägen"
"Ratapihantie ramppi",sv,"Bangårdsvägen rampen"
"Otaniementie 19",sv,"Otnäsvägen 19"
"Nemlahti",fi,"Nemlahti"
"Hakaniemi(M)",sv,"Hagnäs(M)"
"Kiitoradantie 2",fi,"Kiitoradantie 2"
"Pirkkolan plotti",sv,"Plotti i Britas"
"Vanha-Mankkaa",sv,"Gamla Mankans"
"Riipilä",sv,"Ripuby"
"Martiksentie",sv,"Martisvägen"
"Kallvikintie",fi,"Kallvikintie"
"Firanlähteentie",fi,"Firanlähteentie"
"Ylämyllyntie",sv,"Övre Kvarnvägen"
"Aseveljentie",fi,"Aseveljentie"
"Isokivi",fi,"Isokivi"
"Kivipylvääntie",fi,"Kivipylvääntie"
"Antinkoti",sv,"Antinkoti"
"Sammontie",sv,"Sammontie"
"Pyhtäänkorvenkuja",fi,"Pyhtäänkorvenkuja"
"Pornainen koulukesk.",fi,"Pornainen koulukesk."
"Kaitaan metroasema",fi,"Kaitaan metroasema"
"Lehtikuusentie 6",sv,"Lärkträdsvägen 6"
"Tkl-Hki",sv,"Dickursby-Hfors"
"Kaarelantie",fi,"Kaarelantie"
"Auroran koulu",sv,"Auroran koulu"
"Kauppalantie 20",fi,"Kauppalantie 20"
"Haagan urheilutie",sv,"Haga sportväg"
"Kivikonl.-Kontula",fi,"Kivikonl.-Kontula"
"Lillkanskog",fi,"Lillkanskog"
"Suitiannummentie",fi,"Suitiannummentie"
"Ylisrinne",sv,"Oppibranten"
"Eiranranta - Rautatieasema - Koskelan halli",sv,"Eirastranden - Järnvägsstationen - Forsby hall"
"Norrbacka",sv,"Norrbacka"
"Nöykkiönkatu",sv,"Nöykisgatan"
"Jätkäsaari - Ruoholahti (M) - Töölö - Sörnäinen (M) - Arabia",fi,"Jätkäsaari - Ruoholahti (M) - Töölö - Sörnäinen (M) - Arabia"
"Katajanokka - Suomen",sv,"Skatudden - Sveaborg"
"Ala-Malmin tori, lait. 24",fi,"Ala-Malmin tori, lait. 24"
"Kauklahti, lait. 12",fi,"Kauklahti, lait. 12"
"Koivukylä as.",sv,"Björkby st."
"Ojahaka",fi,"Ojahaka"
"Dickursby skola",sv,"Dickursby skola"
"Kylänvanhimmantie 28",fi,"Kylänvanhimmantie 28"
"Iltatähdenkuja",sv,"Aftonstjärnegränden"
"Mattilanpuisto / Hyrylä",sv,"Mattilanpuisto / Skavaböle"
"Urheilupuisto(M)",fi,"Urheilupuisto(M)"
"Lauttasaaren silta",fi,"Lauttasaaren silta"
"Antinkoti",fi,"Antinkoti"
"Karting center",fi,"Karting center"
"Jämsänkatu",sv,"Jämsägatan"
"Opistopolku",fi,"Opistopolku"
"Itäkeskus(M) - Pitäj",fi,"Itäkeskus(M) - Pitäj"
"Siuntio - Nysvidja",fi,"Siuntio - Nysvidja"
"Svenska normallyceum",fi,"Svenska normallyceum"
"Ramsinniementie",fi,"Ramsinniementie"
"Ida Aalbergin tie 1",sv,"Ida Aalbergs väg 1"
"Vuosaaren satama",sv,"Nordsjö hamn"
"Ooppera-Olympiaterm.",fi,"Ooppera-Olympiaterm."
"Gesterborgintie 4",sv,"Gesterborgsvägen 4"
"Hietalahdenkatu 16",fi,"Hietalahdenkatu 16"
"Lähdepolun leikkip.",fi,"Lähdepolun leikkip."
"Laurantie",fi,"Laurantie"
"Linnake",sv,"Fortet"
"Hakamäentie",fi,"Hakamäentie"
"Ohkolantie",fi,"Ohkolantie"
"Puistolan as.",sv,"Parkstad st."
"Riistavuorenkuja",fi,"Riistavuorenkuja"
"Toimintakesk. Aurora",sv,"Aurora verkcentralen"
"Sairaalakatu",sv,"Sjukhusgatan"
"Kipparlahti",fi,"Kipparlahti"
"Klaukkalantie",sv,"Klasasvägen"
"Mustalahdentie 1",fi,"Mustalahdentie 1"
"Karhusuontie 76",sv,"Björnkärrsvägen 76"
"Miekkapolku 2",sv,"Svärdstigen 2"
"RT-Kellokoski",fi,"RT-Kellokoski"
"Karakallion keskus",fi,"Karakallion keskus"
"Broaksentie",fi,"Broaksentie"
"Tupavuori",sv,"Stugberget"
"Kaskelantie",sv,"Kaskelantie"
"Arabia-Ooppera",fi,"Arabia-Ooppera"
"Tuulensuuntori",fi,"Tuulensuuntori"
"Saarijärvi*",fi,"Saarijärvi*"
"Keinukallio-Kerava",fi,"Keinukallio-Kerava"
"Hauenkallionpolku",fi,"Hauenkallionpolku"
"Kauppiaantanhua",fi,"Kauppiaantanhua"
"Ravalsintie",fi,"Ravalsintie"
"Lahdentie",fi,"Lahdentie"
"Hakaniemi - Ilola - Korson asema",sv,"Hagnäs - Gladas - Korso station"
"Simonkyläntie",sv,"Simonsbölevägen"
"Oravamäentie",sv,"Ekorrbacksvägen"
"Lokkisaarentie 13",fi,"Lokkisaarentie 13"
"Leppävaara-Jupperi",fi,"Leppävaara-Jupperi"
"Nikkilä-Järvenpää",fi,"Nikkilä-Järvenpää"
"Paraistentie",fi,"Paraistentie"
"Pikkala",fi,"Pikkala"
"Kilpilahti",fi,"Kilpilahti"
"Reposalmentie",sv,"Rävsundsvägen"
"Viherkalliontie 8",sv,"Grönbackavägen 8"
"Itäk.-Westendinas.",fi,"Itäk.-Westendinas."
"Pitkäjärvenranta",fi,"Pitkäjärvenranta"
"Joukinrinne",fi,"Joukinrinne"
"Kunnalliskodintie",sv,"Kommunalhemsvägen"
"Eriknäsintie",fi,"Eriknäsintie"
"Ravitie 1",sv,"Travvägen 1"
"Kuntakeskus-Siuntion kk.-Järvinummi-Kuntakeskus",sv,"Kommuncentrum-Sjundeå k:by-Järvinummi-Kommuncentrum"
"Vilhonkummuntie",fi,"Vilhonkummuntie"
"Friggesbyntie 15",fi,"Friggesbyntie 15"
"Länsinummenkatu",fi,"Länsinummenkatu"
"Kustaankatu",sv,"Gustavsgatan"
"Luukki",sv,"Luk"
"Aavasaksantie",sv,"Aavasaksantie"
"Koskenhaantie 23",fi,"Koskenhaantie 23"
"Turveradantie 1",sv,"Torvbanevägen 1"
"Rautatientori - Oulunkylä - Itä-Pakila",sv,"Järnvägstorget - Åggelby - Östra Baggböle"
"Ahertajankuja",fi,"Ahertajankuja"
"Inva",sv,"Inva"
"Tullisaari 2",fi,"Tullisaari 2"
"Varputie",sv,"Risvägen"
"Poutuntie 12",fi,"Poutuntie 12"
"Herttoniemi (M), lait. 10",sv,"Hertonäs (M), pf. 10"
"Kauklahdenväylä",sv,"Köklaxleden"
"Helsinki-Hyvinkää",sv,"Helsingfors-Hyvinge"
"Keilaniemi(M)",fi,"Keilaniemi(M)"
"Rautatientori-Pasila-Pirkkola",sv,"Järnvägstorget-Böle-Britas"
"Peltohiirenkuja",fi,"Peltohiirenkuja"
"Karhusuontie 76",fi,"Karhusuontie 76"
"Peltovuorentie 12",fi,"Peltovuorentie 12"
"Sofianlehdonkatu",sv,"Sofielundsgatan"
"Laajasalo",sv,"Degerö"
"Louhentori",fi,"Louhentori"
"Pohjanrinne",fi,"Pohjanrinne"
"Sandsdal",sv,"Sandsdal"
"Fallkulla",fi,"Fallkulla"
"Lautamiehentie",fi,"Lautamiehentie"
"Kappalaisentie",fi,"Kappalaisentie"
"Puikkopolku",sv,"Stickstigen"
"Hirvitie",sv,"Älgvägen"
"Stansvikintie",sv,"Stansviksvägen"
"Kontulan metroasema",sv,"Gårdsbacka metrostation"
"Ohkolantie",sv,"Ohkolantie"
"Itäkeskus (M)-Vihdintie",fi,"Itäkeskus (M)-Vihdintie"
"Kulosaari (M)",fi,"Kulosaari (M)"
"Martinsilta",fi,"Martinsilta"
"Iltatie",fi,"Iltatie"
"Kurkiauranpolku",sv,"Tranplogsstigen"
"Kausala",sv,"Kausala"
"Martiksentie",fi,"Martiksentie"
"Matinkylä (M)-Masala-Kirkkonummi-Kantvik",sv,"Mattby (M)-Masaby-Kyrkslätt-Kantvik"
"Kaskilaakso",fi,"Kaskilaakso"
"Träskändan kartano",sv,"Träskända gård"
"Lahnuksen koulu",sv,"Lahnuksen koulu"
"Mustalahdentie 1",sv,"Svartviksvägen 1"
"Hösmärintie",fi,"Hösmärintie"
"Viklotie",fi,"Viklotie"
"Norrbacka",fi,"Norrbacka"
"Leinelä",sv,"Leijle"
"Vesiniityntie",fi,"Vesiniityntie"
"Juvansolmu",fi,"Juvansolmu"
"Edvard Blomqvistin p",sv,"Edvard Blomqvists st"
"Hyrylä - Sula - Keravan asema",sv,"Skavaböle-Sula-Kervo station"
"Kaisaniemenkatu",fi,"Kaisaniemenkatu"
"Säteri",fi,"Säteri"
"Päivänpaisteenpolku",fi,"Päivänpaisteenpolku"
"Käpytikantie",fi,"Käpytikantie"
"Kauniaisten asema",sv,"Grankulla station"
"Matinkylä(M)",fi,"Matinkylä(M)"
"Monninkylä-Pornainen-Järvenpää",fi,"Monninkylä-Pornainen-Järvenpää"
"Olympiaterm.-Meilaht",fi,"Olympiaterm.-Meilaht"
"Sompasaari",fi,"Sompasaari"
"Krankantie",sv,"Kranksvägen"
"Kuovintie",sv,"Spovvägen"
"Westendintie",fi,"Westendintie"
"Nikkilä-Etelä-Paippinen-Rajakulma",fi,"Nikkilä-Etelä-Paippinen-Rajakulma"
"Espoon k-Röylä",fi,"Espoon k-Röylä"
"Laha",fi,"Laha"
"Kottaraistie",sv,"Starvägen"
"Kirkkotie - Gallträsk - Kasavuori - Kirkkotie",sv,"Kyrkovägen - Gallträsk - Kasaberget - Kyrkovägen"
"Jakomäenkuja",fi,"Jakomäenkuja"
"Sarsala",fi,"Sarsala"
"Taidemaalarinkatu",sv,"Bildkonstnärsgatan"
"Televisiokatu 9",sv,"Televisionsgatan 9"
"Kaiv-Myyrm-Hämk",fi,"Kaiv-Myyrm-Hämk"
"Vantaankoski as.",fi,"Vantaankoski as."
"Päiväkoti Apila",fi,"Päiväkoti Apila"
"Niemenkylä",fi,"Niemenkylä"
"Asessorinkuja",sv,"Assessorsgränden"
"Perkkaantie 16",sv,"Bergansvägen 16"
"Rtori-Heikinlaakso",fi,"Rtori-Heikinlaakso"
"Kirkkonummi - Hila",fi,"Kirkkonummi - Hila"
"Kätilöopisto",fi,"Kätilöopisto"
"Kilpilahti",sv,"Sköldvik"
"Kustaantie 10",sv,"Gustavsvägen 10"
"Kirkonkyläntie",fi,"Kirkonkyläntie"
"Tupavuori",fi,"Tupavuori"
"Myrttitie",fi,"Myrttitie"
"Nyyrikintie",fi,"Nyyrikintie"
"Kuitinniitty",sv,"Kvisängen"
"Nik.-Gestb-Söderk.k.-Sip.l.k.-Eriksn-Gumbostr-Imm.b-Söderk.k",sv,"Nick.-Gestb-Söderk.s.-Sip.l.k-Eriksn-Gumbostr-Imm.b-Söderk.s"
"Kala-Kosk.halli",fi,"Kala-Kosk.halli"
"Ravitie 1",fi,"Ravitie 1"
"Westendintie 61",fi,"Westendintie 61"
"Fleminginkatu 19",sv,"Flemingsgatan 19"
"Sunilantie 5",sv,"Sonabyvägen 5"
"Ruonasalmentie 2",sv,"Grundsundsvägen 2"
"Viikki-Siltamäki",sv,"Vik-Brobacka"
"Luukki",fi,"Luukki"
"Aavasaksantie",fi,"Aavasaksantie"
"Tikkurila-Rekolanm",sv,"Dickursby-Räckhalsb"
"Eliel-Espoon k.",fi,"Eliel-Espoon k."
"Koskelan halli -Sturenkatu - Ooppera - Lasipalatsi - Kirurgi",fi,"Koskelan halli -Sturenkatu - Ooppera - Lasipalatsi - Kirurgi"
"Sörnäinen (M)",fi,"Sörnäinen (M)"
"Soukanniemi-Soukka(M)-Espoonl.(M)-Kivenl.(M)-Espoon k.-Jorvi",sv,"Sökö udd-Sökö(M)-Esboviken(M)-Stensvik(M)-Esbo centrum-Jorv"
"Juvansolmu",sv,"Juvaknuten"
"Kansantie",fi,"Kansantie"
"Peijas - Korso - Kannisto - Keravan asema",fi,"Peijas - Korso - Kannisto - Keravan asema"
"Karhupuisto",fi,"Karhupuisto"
"Soinintie",fi,"Soinintie"
"Sähkömetsä",fi,"Sähkömetsä"
"Karskog",fi,"Karskog"
"Härkähaantie 13",sv,"Oxhagsvägen 13"
"Jätkäsaari-Kosk.hall",fi,"Jätkäsaari-Kosk.hall"
"Kehtotie",fi,"Kehtotie"
"Niittykummun päiväk.",sv,"Ängskulla barnhem"
"Kulomäentien ramppi",sv,"Kulomäentien ramppi"
"Grönkulla",fi,"Grönkulla"
"Niemenmäki",sv,"Näshöjden"
"Hösmärintie",sv,"Hösmärvägen"
"Puikkopolku",fi,"Puikkopolku"
"Pirttitie",fi,"Pirttitie"
"Simonkyläntie",fi,"Simonkyläntie"
"Elielinaukio lait. 22",sv,"Elielplatsen, pf. 22"
"Asematie 35",sv,"Stationsvägen 35"
"Kuntakeskus - Siuntion kk - Vejans - Hästböle - Kuntakeskus",fi,"Kuntakeskus - Siuntion kk - Vejans - Hästböle - Kuntakeskus"
"Tapanilan urheilukes",fi,"Tapanilan urheilukes"
"Kärkipuisto",fi,"Kärkipuisto"
"Hirsalantie",sv,"Hirsalavägen"
"Kylväjänkuja",sv,"Såningsmansgränden"
"Rauhalantie",sv,"Rauhalavägen"
"Sahaajankatu 33",fi,"Sahaajankatu 33"
"Nylanderinpuisto",fi,"Nylanderinpuisto"
"Sanomala",fi,"Sanomala"
"Huhtimo",fi,"Huhtimo"
"Seurasaarentie 7",fi,"Seurasaarentie 7"
"Haapatie",fi,"Haapatie"
"Peuramaantie",fi,"Peuramaantie"
"Westendintie 71",fi,"Westendintie 71"
"Leppävaaran asema, lait. 31",sv,"Alberga station, pf. 31"
"Lokitie 18",sv,"Loggvägen 18"
"Konala",sv,"Kånala"
"Bosund",fi,"Bosund"
"Uusi Porvoontie",fi,"Uusi Porvoontie"
"Uimahalli",sv,"Simhallen"
"Jäähalli",sv,"Ishallen"
"Anjankuja",sv,"Anjasgränden"
"Nokkoskuja",sv,"Nässelgränden"
"Nikuksentie",sv,"Nikuksvägen"
"Vakka",sv,"Vakka"
"Topeliuksenkatu 17",sv,"Topeliusgatan 17"
"Siuntio, Eteläinen Laversintie",sv,"Sjundeå, Södra Laversvägen"
"Kamppi-V.laakso",fi,"Kamppi-V.laakso"
"Kannunvalajantie",fi,"Kannunvalajantie"
"Helmipöllönmäki",fi,"Helmipöllönmäki"
"Naruportti",fi,"Naruportti"
"Nihtisilta",sv," Knektbro"
"Muuntotie",sv,"Transformatorvägen"
"Ismonkuja 1",sv,"Ismogränden 1"
"Luoma - Masala - Kauhala",sv,"Bobäck - Masaby - Kauhala"
"Muinaistutkijantie",sv,"Fornforskarvägen"
"Sirpantie",sv,"Sirpavägen"
"Hallainvuorentie 6",fi,"Hallainvuorentie 6"
"Reserviläisentie",fi,"Reserviläisentie"
"Nihtitorppa",fi,"Nihtitorppa"
"Vanhakaupunki",sv,"Gammelstaden"
"Kalliosola pohjoinen",sv,"Bergpass nord"
"Kivistö-Ruotsinkylä-Hyrylä-Keravan asema",sv,"Kivistö-Klemetskog-Skavaböle-Kervo"
"Haarssintie",fi,"Haarssintie"
"Kaarlo Sarkian katu",sv,"Kaarlo Sarkias gata"
"Louhelantie",sv,"Klippstavägen"
"Agnes Sjöbergin k. 2",sv,"Agnes Sjöbergs G. 2"
"Leppäv-Kivenlahti",fi,"Leppäv-Kivenlahti"
"Ståhlberginkuja",fi,"Ståhlberginkuja"
"Miilukallio",fi,"Miilukallio"
"Kabanovintie",fi,"Kabanovintie"
"Kartanonrinne",fi,"Kartanonrinne"
"Perhosniitty",sv,"Fjärilsängen"
"Seliminkuja",sv,"Selimsgränden"
"Siippoon Nummitie",sv,"Siippoon Nummitie"
"Itella",fi,"Itella"
"Fazerin portti",fi,"Fazerin portti"
"Ryytimaa",sv,"Kryddgården"
"Laitamaantie",sv,"Laitamaavägen"
"Åvik",sv,"Åvik"
"Suurpellon puistok.",sv,"Storåkerns parkgata"
"Kaskenpolttaja",sv,"Svedjebrännaren"
"Bergstadintie",sv,"Bergstadsvägen"
"Hiekkalaiturintie",sv,"Sandkajsvägen"
"Rtori1-Latokart.",fi,"Rtori1-Latokart."
"Lappers(-Lohja)",fi,"Lappers(-Lohja)"
"Meilati - Alppila - Ooppera",sv,"Mejlans - Alphyddan - Operan"
"Rataramppi",sv,"Banrampen"
"Matinkylä (M)-Gesterby-Kirkkonummi",fi,"Matinkylä (M)-Gesterby-Kirkkonummi"
"Hallainvuori",fi,"Hallainvuori"
"Vehkapolku",fi,"Vehkapolku"
"Hermannin rantatie",sv,"Hermanstads strandv"
"Myllymestarintie",sv,"Kvarnmästarvägen"
"Everstinkatu",fi,"Everstinkatu"
"Tiistilän koulu",fi,"Tiistilän koulu"
"Masala",fi,"Masala"
"Kirkkonummi mk",fi,"Kirkkonummi mk"
"Riihipellontie",sv,"Riåkersvägen"
"Rautatientori-Jakomäki-Hakunila-Nissas",fi,"Rautatientori-Jakomäki-Hakunila-Nissas"
"Karhupuisto - Malmi - Tapanila - Puistola - Heikinlaakso",sv,"Björnparken - Malm - Mosabacka - Parkstad - Henriksdal"
"Korsbacka",fi,"Korsbacka"
"Mahlamäki",fi,"Mahlamäki"
"Länsitie",sv,"Västervägen"
"Rautatientori, l.10",fi,"Rautatientori, l.10"
"Kivirinne",fi,"Kivirinne"
"Sateentie",sv,"Regnvägen"
"Kalatorppa",sv,"Fisketorpet"
"Lanttikatu",sv,"Slantgatan"
"Lahdentie",sv,"Lahdentie"
"Trumpettitie",fi,"Trumpettitie"
"Sunnanvik tiehaara",fi,"Sunnanvik tiehaara"
"Kotimäki",sv,"Hembacken"
"Värströmintie 100",sv,"Värströmsvägen 100"
"Hämeentie 50",sv,"Tavastvägen 50"
"Tuusula",sv,"Tuusula"
"Peijas - Ruskeasanta - Aviapolis - Ylästö - Myyrmäki",fi,"Peijas - Ruskeasanta - Aviapolis - Ylästö - Myyrmäki"
"Skatantie",fi,"Skatantie"
"Kiulupolku",sv,"Stävstigen"
"Hiidenkiventie",fi,"Hiidenkiventie"
"Mäntyniemi",fi,"Mäntyniemi"
"Nepperi",sv,"Neppers"
"Tapiola-Jupperi",sv,"Hagalund-Jupper"
"Mellunmäki, lait. 11",fi,"Mellunmäki, lait. 11"
"Paijala/Hyrylä",sv,"Paijala/Skavaböle"
"Rautatientori-Oulunkylä-Itä-Pakila",sv,"Järnvägstorget-Åggelby-Östra Baggböle"
"Matinkylä (M)-Masala-Kirkkonummi",sv,"Mattby (M)-Masaby-Kyrkslätt"
"Oulunkylä-Huopalahti",fi,"Oulunkylä-Huopalahti"
"Medvastö",fi,"Medvastö"
"Rautatientori - Kuninkaanmäki - Nikinmäki - Korso",sv,"Järnvägstorget - Kungsbacka - Nissbacka - Korso"
"Maunulanmäki",fi,"Maunulanmäki"
"Rauhalantie",fi,"Rauhalantie"
"Häyhäntie",sv,"Häyhävägen"
"Tuuliniitty",sv,"Vindängen"
"Kytöpuiston koulu",sv,"Kytöpuiston koulu"
"Koivukylän terveysas",sv,"Björkby hälsostation"
"Itäinen Jokipuisto",fi,"Itäinen Jokipuisto"
"Gräsansolmu",sv,"Gräsaknuten"
"Verkkoniemi",sv,"Verkkoniemi"
"Lintuvaara",sv,"Fågelberga"
"Kirkkonummi - Siuntio",sv,"Kyrkslätt - Sjundeå"
"Koivuniementie",sv,"Björknäsvägen"
"Verkkoniemi",fi,"Verkkoniemi"
"Norrbackantie",fi,"Norrbackantie"
"Myötätuulenmäki",sv,"Medvindsbacken"
"Rautat-Tuupakka",fi,"Rautat-Tuupakka"
"Iivisniemenaukio",fi,"Iivisniemenaukio"
"Ilvesvuori",fi,"Ilvesvuori"
"Ohjasrinne",sv,"Tömbrinken"
"Riekkomäentie",sv,"Ripbacksvägen"
"Uutelantie",sv,"Nybondsvägen"
"Kampin terminaali, lait. 45",fi,"Kampin terminaali, lait. 45"
"Leppäv.-Pitäjänmäki",fi,"Leppäv.-Pitäjänmäki"
"Lappers(-Lohja)",sv,"Lappers(-Lojo)"
"Rautatientori - Kuninkaanmäki - Nikinmäki - Korso",fi,"Rautatientori - Kuninkaanmäki - Nikinmäki - Korso"
"Kutinloukontie",fi,"Kutinloukontie"
"Järvenpään asema",sv,"Träskända station"
"Koskelantie",fi,"Koskelantie"
"Ratavallintie",fi,"Ratavallintie"
"Aurinkol. puistotie",sv,"Solviksallén"
"Lippulaiva",sv,"Lippulaiva"
"Vehkapolku",sv,"Missnestigen"
"Nahkiaisentie",sv,"Nejonögsvägen"
"Kirkkonummi mh",fi,"Kirkkonummi mh"
"Nikkilän terminaali",fi,"Nikkilän terminaali"
"Klaavuntie",sv,"Klåvusvägen"
"Everstinkatu",sv,"Överstegatan"
"Simonkallion koulu",sv,"Simonkallion koulu"
"Fazerin portti",sv,"Fazers port"
"Lukkarinkuja",sv,"Klockargränden"
"Kosk.hall-Jätkäsaari",fi,"Kosk.hall-Jätkäsaari"
"Kausala",fi,"Kausala"
"Kiviaidantie",fi,"Kiviaidantie"
"Korsbacka",sv,"Korsbacka"
"Raiviopolku",sv,"Rödjestigen"
"Tla-Mikkola",fi,"Tla-Mikkola"
"Rtori1-Latokart.",sv,"Jvtorg1-Ladugård."
"Kuninkaantammenaukio",fi,"Kuninkaantammenaukio"
"Juvantie",fi,"Juvantie"
"Kaskivuorenraitti",sv,"Svedjebergsstråket"
"Myyrmäen jäähalli",sv,"Myrbacka ishall"
"Lintukaari",fi,"Lintukaari"
"Leppävaara-Karakallio-Viherlaakso-Lippajärvi-Högnäs",fi,"Leppävaara-Karakallio-Viherlaakso-Lippajärvi-Högnäs"
"Aviapolis-Louhela-Perusmäki",fi,"Aviapolis-Louhela-Perusmäki"
"Turvekuja",fi,"Turvekuja"
"Tapiolan uimahalli",fi,"Tapiolan uimahalli"
"Vanha-Mankkaa",fi,"Vanha-Mankkaa"
"Paippistentie",fi,"Paippistentie"
"Matinkylä-Leppävaara",fi,"Matinkylä-Leppävaara"
"Takkula",fi,"Takkula"
"Espoo-Siuntio",sv,"Esbo-Sjundeå"
"Stenkalvintie 76",fi,"Stenkalvintie 76"
"Landbo",sv,"Landbo"
"Viipurinkatu 21",sv,"Viborgsgatan 21"
"Kyläsaarenkatu 8",sv,"Byholmsgatan 8"
"Hyökkälä",sv,"Hyökkälä"
"Käpylä-Koskela halli",sv,"Kottby-Forsby hall"
"Lastenlinna",sv,"Barnets borg"
"Tunneli",sv,"Tunnel"
"Killingholmankuja",sv,"Killingholmsgränden"
"Mäkkylän asema",sv,"Mäkkylä station"
"Kivitie",sv,"Stenvägen"
"Skinnarintie",sv,"Skinnarsvägen"
"Antbackantie 4",sv,"Antbackavägen 4"
"Puuskaniementie 3",fi,"Puuskaniementie 3"
"Koskelan halli - Alppila - Munkkiniemi",fi,"Koskelan halli - Alppila - Munkkiniemi"
"Rautatientori - Pihlajisto - Pihlajamäki - Malmi",fi,"Rautatientori - Pihlajisto - Pihlajamäki - Malmi"
"Säterinrinne",fi,"Säterinrinne"
"Sisäterminaali E",fi,"Sisäterminaali E"
"Pohjoinen Stadiontie",sv,"Norra Stadionvägen"
"Laituri 19",sv,"Plattform 19"
"R-lahti-Salmisaari",sv,"G-viken-Sundholmen"
"Hindsby (Knuters)-Nikkilä-Talma",sv,"Hindsby (Knuters)-Nickby-Tallmo"
"Hiekkalaiturinraitti",fi,"Hiekkalaiturinraitti"
"Keimola",sv,"Käinby"
"Sjökulla",sv,"Sjökulla"
"Asemansilta",sv,"Asemansilta"
"Suolakivenkatu 20",sv,"Saltstensgatan 20"
"L-juna",sv,"L-tåget"
"Valapuisto",fi,"Valapuisto"
"Kultarikontie",sv,"Gullbräcksvägen"
"Takoja/VR",fi,"Takoja/VR"
"Henna",sv,"Henna"
"Graniittitie 15",fi,"Graniittitie 15"
"Viinenkuja 6",sv,"Kogergränden 6"
"Kuninkaantammi",fi,"Kuninkaantammi"
"Rannikonmäki-Rusutjärvi-Paijala-Hyrylä",fi,"Rannikonmäki-Rusutjärvi-Paijala-Hyrylä"
"Ainola-Kerava",fi,"Ainola-Kerava"
"Leppävaara (-Kilo) - Kera",fi,"Leppävaara (-Kilo) - Kera"
"Vaasankatu",fi,"Vaasankatu"
"Laajasalon kirkko",sv,"Degerö kyrka"
"Kutinloukontie",sv,"Kutinloukontie"
"Nikk. Kunt-Boxby sk",sv,"Nickby soc-Boxby sk"
"Aviapolis-Louhela-Perusmäki",sv,"Aviapolis-Klippsta-Grundbacka"
"Kivikonlaita - Kontula (M)",sv,"Stensbölekanten - Gårdsbacka (M)"
"ABB, Strömbergintie",fi,"ABB, Strömbergintie"
"Brödtorp",fi,"Brödtorp"
"Sammontie",fi,"Sammontie"
"Kulttuuritalo",sv,"Kulturhuset"
"Göstiksentie",fi,"Göstiksentie"
"Kuusimäentie",fi,"Kuusimäentie"
"Asematie 40",fi,"Asematie 40"
"Juvankartanontie",sv,"Juvagårdsvägen"
"Jakomäen terveysas.",fi,"Jakomäen terveysas."
"Porttipuisto",fi,"Porttipuisto"
"Kivistöntie",fi,"Kivistöntie"
"Tuhkanummentie",sv,"Askmalmsvägen"
"Aviapolis, lait. 13",fi,"Aviapolis, lait. 13"
"Mittalinja",fi,"Mittalinja"
"Papinmäen koulu",fi,"Papinmäen koulu"
"Riihikallion portti",fi,"Riihikallion portti"
"Porttikuja",sv,"Portgränden"
