price,address,area,latLong.longitude,latLong.latitude,country,price_per_sqm
564109.0,"12100 SW 34th Ave, Portland, OR 97219",238.017486,-122.71182,45.438057,USA,2370.031754725785
432250.0,"3825 SE Raymond St, Portland, OR 97202",154.590592,-122.623055,45.486916,USA,2796.0951207173075
408590.0,"12420 SW 34th Ave, Portland, OR",,-122.71073,45.43492,USA,
636909.0,"7301 SW Capitol Hill Rd, Portland, OR 97219",172.335065,-122.69786,45.471867,USA,3695.7597689129607
359450.0,"1607 SE Salmon St, Portland, OR 97214",95.225575,-122.64934,45.514496,USA,3774.7212342902626
206570.0,"410 NW 18th Ave, Portland, OR",,-122.689125,45.525925,USA,
341250.0,"9615 SE Cora St, Portland, OR 97266",98.570083,-122.56449,45.491096,USA,3462.0037805994343
500500.0,"4722 SW Shattuck Rd, Portland, OR 97221",126.812595,-122.7297,45.489105,USA,3946.768852100219
318500.0,"3330 SE 66th Ave, Portland, OR 97206",232.629112,-122.595345,45.498337,USA,1369.132166054952
568750.0,"3222 NE 48th Ave, Portland, OR 97213",133.687417,-122.61339,45.546528,USA,4254.327091980541
773500.0,"1873 S Palatine Hill Rd, Portland, OR 97219",327.761784,-122.660675,45.44608,USA,2359.945661023129
599690.0,"14036 SE Fircrest St, Portland, OR 97236",223.245909,-122.51878,45.464203,USA,2686.230635473817
636090.0,"6947 NE Alameda St, Portland, OR 97213",257.527116,-122.591156,45.542828,USA,2469.9923250023894
499590.0,"746 NE Stafford St, Portland, OR 97211",208.10272,-122.65705,45.57635,USA,2400.689428759028
632450.0,"1937 SE Stark St, Portland, OR 97214",359.162998,-122.645744,45.519535,USA,1760.8996570409515
696150.0,"1704 SW Elizabeth St, Portland, OR 97201",355.725587,-122.696976,45.507717,USA,1956.9860179891978
254709.0,"2833 SW Spring Garden St, Portland, OR 97219",77.295296,-122.706276,45.463177,USA,3295.271681215892
272090.0,"11638 N Island Cove Ln, Portland, OR 97217",153.104144,-122.67451,45.606895,USA,1777.1563387598444
545909.0,"872 SW Broadway Dr, Portland, OR 97201",173.914416,-122.6882,45.50351,USA,3138.9519773909947
444808.0,"12664 SE Bush St, Portland, OR 97266",165.831855,-122.53272,45.49402,USA,2682.2832078915117
431795.0,"1698 NE 137th Ave, Portland, OR 97230",190.636956,-122.5216,45.534893,USA,2265.0120368057073
668850.0,"4212 NE 28th Ave, Portland, OR 97211",210.704004,-122.6366,45.5539,USA,3174.3582812977775
2457000.0,"11000 NW Old Cornelius Pass Rd, Portland, OR 97231",670.945466,-122.868195,45.60235,USA,3661.996577230019
6006000.0,"11175 S Riverwood Rd, Portland, OR 97219",1103.316028,-122.654884,45.444057,USA,5443.5899122096325
664300.0,"6005 NE Mason St, Portland, OR 97218",197.790487,-122.60091,45.55272,USA,3358.6044004229584
373100.0,"8840 SW 36th Ave, Portland, OR",,-122.714386,45.46115,USA,
659750.0,"3969 NE 7th Ave, Portland, OR 97212",186.73503,-122.658905,45.551834,USA,3533.0810721480593
