price,adresse,area,city,country,price_per_sqm
158735.27399999998,"Frydenbøveien 22A, Laksevåg",29.0,Bergen,Norway,5473.6301379310335
297312.062,"Ture Nermans vei 57, Fyllingsdalen",73.0,Bergen,Norway,4072.7679726027395
464506.63999999996,"Von der Ohes vei 6, Bergen",75.0,Bergen,Norway,6193.421866666666
415044.34199999995,"Sundts veg 93, Nesttun",64.0,Bergen,Norway,6485.067843749999
552390.8999999999,"Haukedalsveien 55, Tertnes",164.0,Bergen,Norway,3368.2371951219507
794114.5399999999,"Stokkedalen 103, Straumsgrend",213.0,Bergen,Norway,3728.237276995305
238576.9,"Trengereidlia 20, Trengereid",171.0,Bergen,Norway,1395.1865497076024
573856.5,"Kipo 3A, Tertnes",117.0,Bergen,Norway,4904.75641025641
246310.536,"Solheimsgaten 66, Bergen",53.0,Bergen,Norway,4647.368603773585
503026.89999999997,"Markaneset 24D, Søreidgrend",117.0,Bergen,Norway,4299.375213675214
672734.1399999999,"Nordeidåsen 8, Søreidgrend",155.0,Bergen,Norway,4340.220258064515
881541.2799999999,"Nordåsvegen 134B, Rådal",127.0,Bergen,Norway,6941.269921259842
396730.89999999997,"Hamrevegen 25C, Kalandseidet",148.0,Bergen,Norway,2680.614189189189
1852765.94,"Svartefjorden 98, Fana",59.0,Bergen,Norway,31402.81254237288
441672.77999999997,"Sandslimarka 273, Sandsli",98.0,Bergen,Norway,4506.865102040816
436664.398,"Myrdalsvegen 44 K, Nyborg",360.0,Bergen,Norway,1212.956661111111
837510.9999999999,"Farvikvegen 11A, Morvik",80.0,Bergen,Norway,10468.887499999999
574216.84,"Morvikbotn 256, Morvik",78.0,Bergen,Norway,7361.754358974358
448181.25999999995,"Odins veg 45 og 47, Nesttun",312.0,Bergen,Norway,1436.4783974358973
293939.82999999996,"Haukedalen 71, Ulset",138.0,Bergen,Norway,2129.998768115942
290936.27999999997,"Camilla Colletts gate 5F, Bergen",64.0,Bergen,Norway,4545.8793749999995
379121.54,"Skottegaten 6, Bergen",82.0,Bergen,Norway,4623.433414634146
230771.28199999998,"Frydenbølien 16, Bergen",46.0,Bergen,Norway,5016.767
290885.54,"Skottegaten 6, Bergen",66.0,Bergen,Norway,4407.356666666667
570263.936,"Sandsliåsen 59, Sandsli",62.0,Bergen,Norway,9197.805419354838
399545.93799999997,"Adolph Bergs vei 14, Bergen",44.0,Bergen,Norway,9080.5895
935047.8999999999,"Nils Langhelles vei 31, Fyllingsdalen",89.0,Bergen,Norway,10506.15617977528
441459.49999999994,"Einerkollen 39, Loddefjord",85.0,Bergen,Norway,5193.641176470587
341109.196,"Kokstadvegen 19, trinn 2, Kokstad",199.0,Bergen,Norway,1714.1165628140702
308580.89999999997,"Nye Sædalsveien 94, Bergen",206.0,Bergen,Norway,1497.9655339805824
573335.34,"Løbergsveien 42, Bergen",55.0,Bergen,Norway,10424.278909090908
905183.5399999999,"Smøråslia 27, Rådal",68.0,Bergen,Norway,13311.522647058822
817033.5399999999,"Skjoldlia 35, Rådal",141.0,Bergen,Norway,5794.564113475177
404694.49999999994,"Kråvasslia 193, Flaktveit",261.0,Bergen,Norway,1550.5536398467432
467250.89999999997,"Skottegaten 17, Bergen",200.0,Bergen,Norway,2336.2545
316844.63999999996,"Garnesvegen 14, Indre Arna",106.0,Bergen,Norway,2989.1003773584903
689068.12,"Kvernabekkvegen 96, Fana",74.0,Bergen,Norway,9311.73135135135
559793.0059999999,"Dolvikbakken 159, Søreidgrend",62.0,Bergen,Norway,9028.919451612903
533306.64,"Jernbanebakken 3, Bergen",126.0,Bergen,Norway,4232.592380952381
1498605.9,"Ole Irgens' vei 14, Bergen",139.0,Bergen,Norway,10781.337410071941
419575.16599999997,"Erleveien 20, Bergen",93.0,Bergen,Norway,4511.560924731182
181376.15,"Christian Michelsens gate 2B, Bergen",174.0,Bergen,Norway,1042.3916666666667
246875.9,"Øvre Stadionveien 18A, Laksevåg",65.0,Bergen,Norway,3798.090769230769
947181.6399999999,"Nordeidstraumen 11, Søreidgrend",13.0,Bergen,Norway,72860.12615384614
199931.08,"Salhusvegen 269, Salhus",46.0,Bergen,Norway,4346.3278260869565
1021015.22,"Fanastølen 4, Fana",169.0,Bergen,Norway,6041.510177514792
410004.13999999996,"Hatlestad terrasse 32, Nesttun",60.0,Bergen,Norway,6833.4023333333325
287447.604,"Nordåsbrotet 109, Rådal",228.0,Bergen,Norway,1260.735105263158
690206.7599999999,"Sundts veg 60, Nesttun",73.0,Bergen,Norway,9454.88712328767
379065.63999999996,"Møllendalsveien 68D, Bergen",130.0,Bergen,Norway,2915.889538461538
661655.9639999999,"Eidsvågveien 18, Eidsvågneset",246.0,Bergen,Norway,2689.658390243902
411543.54,"Høgstølen 36, Breistein",144.0,Bergen,Norway,2857.94125
652330.6399999999,"Vestre Rå 92, Rådal",121.0,Bergen,Norway,5391.162314049586
351887.23199999996,"Vindharpevegen 6E, Rådal",73.0,Bergen,Norway,4820.37304109589
424519.22,"Ådnavegen 25, Indre Arna",69.0,Bergen,Norway,6152.452463768115
531272.74,"Dolvikbakken, Søreidgrend",130.0,Bergen,Norway,4086.7133846153847
634318.7999999999,"Siljustølvegen 24F, Rådal",154.0,Bergen,Norway,4118.953246753246
448976.24399999995,"Sandviksveien 80, Bergen",47.0,Bergen,Norway,9552.68604255319
345771.6,"Sandsli Stasjon | Sandslihovden 32-36, Sandsli",60.0,Bergen,Norway,5762.86
362656.83999999997,"Haukedalsbotn 18L, Tertnes",80.0,Bergen,Norway,4533.210499999999
350668.698,"Bredalsmarken 1, Bergen",61.0,Bergen,Norway,5748.667180327869
341290.22599999997,"Våkleivskogen 88, Bønes",78.0,Bergen,Norway,4375.515717948718
750263.9999999999,"Sandsliåsen 41, Sandsli",118.0,Bergen,Norway,6358.169491525423
209086.63999999998,"Monrad Mjeldes vei 3, Laksevåg",64.0,Bergen,Norway,3266.9787499999998
385301.49999999994,"Kong Oscars gate 25B, Bergen",48.0,Bergen,Norway,8027.114583333332
520849.54,"Grimstadvegen 92, Søreidgrend",129.0,Bergen,Norway,4037.5933333333332
1291475.76,"Fløenbakken 27, Bergen",201.0,Bergen,Norway,6425.252537313433
749781.5399999999,"Torvbakken 9, Morvik",267.0,Bergen,Norway,2808.1705617977527
414876.89999999997,"Hylkjevegen 24, Hylkje",150.0,Bergen,Norway,2765.8459999999995
1138918.64,"Sagstadvegen 7B, Fana",174.0,Bergen,Norway,6545.509425287356
420444.54,"TOPPEVEGEN 11, Mjølkeråen",184.0,Bergen,Norway,2285.0246739130434
1226810.64,"Fjellveien 114, Bergen",267.0,Bergen,Norway,4594.796404494382
1216585.412,"Steinsvikkroken 33B, Rådal",303.0,Bergen,Norway,4015.1333729372936
990995.8019999999,"Forskjønnelsen 7C, Bergen",136.0,Bergen,Norway,7286.733838235294
349215.89999999997,"Søndre Lyderhornslien 58C, Loddefjord",66.0,Bergen,Norway,5291.15
315771.10199999996,"Arne Abrahamsens vei 11, Laksevåg",68.0,Bergen,Norway,4643.692676470588
1190906.5,"Dyrhaugen 38, Rådal",207.0,Bergen,Norway,5753.171497584541
583071.3999999999,"Lilletveitvegen 87B, Nesttun",202.0,Bergen,Norway,2886.49207920792
503026.89999999997,"Nattlandsrinden 133, Bergen",126.0,Bergen,Norway,3992.2769841269837
233591.566,"Monrad Mjeldes vei 3, Laksevåg",71.0,Bergen,Norway,3290.022056338028
475784.24999999994,"Damsgårdsveien 56, Bergen",79.0,Bergen,Norway,6022.585443037974
1015340.94,"Naustvegen 36, Mjølkeråen",235.0,Bergen,Norway,4320.599744680851
369794.83999999997,"Lille Gartnerløkken - Salhusvegen 18, Nyborg",55.0,Bergen,Norway,6723.542545454545
335315.72,"Ny-Paradis 70, Paradis",100.0,Bergen,Norway,3353.1571999999996
472539.89999999997,"Strandgaten 207, Bergen",84.0,Bergen,Norway,5625.474999999999
628202.48,"Sandsliåsen nr.17, Sandsli",91.0,Bergen,Norway,6903.323956043956
304928.05,"J. L. Mowinckels vei 13, Fyllingsdalen",79.0,Bergen,Norway,3859.848734177215
272007.68,"Siljustølveien, Rådal",47.0,Bergen,Norway,5787.397446808511
511414.73799999995,"Sundts veg 166, Nesttun",78.0,Bergen,Norway,6556.599205128205
405545.89999999997,"Ytrebygdsvegen 34H, Søreidgrend",69.0,Bergen,Norway,5877.476811594202
371132.13999999996,"Vestre Vallavegen 28, Nesttun",139.0,Bergen,Norway,2670.015395683453
793405.8999999999,"Sundts veg 89, Nesttun",97.0,Bergen,Norway,8179.442268041236
363116.93999999994,"Statsminister Michelsens veg 67, Paradis",60.0,Bergen,Norway,6051.948999999999
395900.13999999996,"Hausdalsvegen 326, Kalandseidet",177.0,Bergen,Norway,2236.7239548022594
440826.54,"Troldhaugvegen 38B, Paradis",69.0,Bergen,Norway,6388.790434782609
268605.94999999995,"Tartargaten 18, Bergen",53.0,Bergen,Norway,5068.036792452829
464378.49999999994,"Midthagen 37, Haukeland",208.0,Bergen,Norway,2232.588942307692
413633.512,"Fantoftvegen 2, Bergen",63.0,Bergen,Norway,6565.611301587302
428528.54,"Fanavegen 83, Rådal",71.0,Bergen,Norway,6035.61323943662
635070.612,"Gamle Nøstegaten 9, Bergen",67.0,Bergen,Norway,9478.665850746269
1059583.64,"Rollandsvegen 6, Ulset",116.0,Bergen,Norway,9134.34172413793
484632.10199999996,"Breivikdalen 69, Godvik",67.0,Bergen,Norway,7233.31495522388
859548.4999999999,"Måseskjærveien 18, Bergen",88.0,Bergen,Norway,9767.59659090909
503219.54,"Stiaberget 207, Godvik",122.0,Bergen,Norway,4124.750327868852
414449.566,"Gjerdehaugene 8B, Mathopen",159.0,Bergen,Norway,2606.601044025157
655160.0399999999,"Helldalsstølen, Nesttun",270.0,Bergen,Norway,2426.5186666666664
1058371.9,"Råtun 46B, Rådal",114.0,Bergen,Norway,9283.964035087718
2117246.04,"Vilhelm Bjerknes' vei 102, Bergen",261.0,Bergen,Norway,8112.053793103449
246238.55399999997,"Magnus Barfots gate 14, Bergen",156.0,Bergen,Norway,1578.4522692307692
758175.9999999999,"Nedre Slettestølen 4, Mjølkeråen",136.0,Bergen,Norway,5574.823529411764
405850.33999999997,"Ådlandsstraumen 2, Blomsterdalen",348.0,Bergen,Norway,1166.2366091954023
962288.3999999999,"Hjellestadvegen 117, Blomsterdalen",273.0,Bergen,Norway,3524.8659340659337
696471.0,"Morviksanden 25, Morvik",30.0,Bergen,Norway,23215.7
1058319.44,"Øvre Bergveien 53, Bønes",176.0,Bergen,Norway,6013.178636363636
586880.7699999999,"Sandsli 360 Trinn 3, Sandsli",127.0,Bergen,Norway,4621.10842519685
317340.0,"Ekrebakken 12, Bergen",209.0,Bergen,Norway,1518.3732057416269
515698.99999999994,"Moldalia, Espeland",231.0,Bergen,Norway,2232.463203463203
309316.19999999995,"YTRE SANDVIKEN, Bergen",215.0,Bergen,Norway,1438.6799999999998
555001.0,"Breiviken 3A, Bergen",91.0,Bergen,Norway,6098.912087912088
573886.772,"Søndre Allmenningen 2, Bergen",54.0,Bergen,Norway,10627.532814814815
501659.49999999994,"Tellevikvegen 93, Salhus",114.0,Bergen,Norway,4400.521929824561
335046.54,"Claus Frimanns gate 7, Bergen",86.0,Bergen,Norway,3895.89
209478.28399999999,"Mårdalen 10, Rådal",111.0,Bergen,Norway,1887.1917477477475
693709.5399999999,"Haukeberget 15, Ulset",326.0,Bergen,Norway,2127.9433742331285
484630.63999999996,"Blådalen 1, Øvre Ervik",54.0,Bergen,Norway,8974.64148148148
369434.49999999994,"Sandeidbrotet 3, Fyllingsdalen",35.0,Bergen,Norway,10555.271428571426
405510.63999999996,"Øvre Hordvikneset 56, Hordvik",148.0,Bergen,Norway,2739.9367567567565
879382.2499999999,"Møllendalsveien 64A, Bergen",108.0,Bergen,Norway,8142.42824074074
518041.63999999996,"Søråshøgda 253, Rådal",120.0,Bergen,Norway,4317.013666666667
294138.576,"Feråsen 14 A-G, Rådal",90.0,Bergen,Norway,3268.2064
555864.44,"Banuren 59, Laksevåg",134.0,Bergen,Norway,4148.242089552238
872985.9999999999,"Nordåsvegen 152, Rådal",45.0,Bergen,Norway,19399.688888888886
317301.214,"Storhammeren 41, Fyllingsdalen",176.0,Bergen,Norway,1802.8478068181817
279338.92199999996,"Sundts veg 93, Nesttun",351.0,Bergen,Norway,795.8373846153845
393204.89999999997,"Asylplassen 9, Bergen",40.0,Bergen,Norway,9830.1225
441110.33999999997,"Wernersholmvegen 27F, Paradis",51.0,Bergen,Norway,8649.222352941177
637051.0199999999,"Nesttunvegen 3, Paradis",85.0,Bergen,Norway,7494.71788235294
296440.968,"Nesttuntræet 19, Nesttun",98.0,Bergen,Norway,3024.907836734694
291627.03199999995,"Torgny Segerstedts vei 73, Fyllingsdalen",73.0,Bergen,Norway,3994.890849315068
366994.85199999996,"Løvstakklien 10, Bergen",91.0,Bergen,Norway,4032.910461538461
298550.892,"Elsters gate 1, Bergen",57.0,Bergen,Norway,5237.734947368421
