price,address,area,city,country,price_per_sqm,lat_long
432816.5,"Krokeidevegen 196, Fana",511.0,Bergen,Norway,846.9990215264187,"(60.2537671, 5.3282606)"
538075.34,"Torvmyra 87, Mathopen",138.0,Bergen,Norway,3899.0966666666654,"(60.3460092, 5.1968497)"
854600.232,"Møllendalsveien 64, Bergen",153.0,Bergen,Norway,5585.622431372549,"(60.380025, 5.350624)"
576013.6379999999,"Sandviksveien 114, Bergen",145.0,Bergen,Norway,3972.507848275861,"(60.4148883, 5.3194171)"
239340.15,"Storhammeren 31, Fyllingsdalen",72.0,Bergen,Norway,3324.16875,"(60.360524, 5.2899883)"
233550.888,"Bøhmergaten 40, Bergen",84.0,Bergen,Norway,2780.367714285714,"(nan, nan)"
351804.5,"Nattlandsåsen 12A, Paradis",27.0,Bergen,Norway,13029.796296296296,"(60.3423149, 5.3597756)"
263751.766,"Loddefjordveien 14, Loddefjord",139.0,Bergen,Norway,1897.4947194244603,"(60.364801, 5.233245)"
494629.0,"Lønborglien 305, Bergen",75.0,Bergen,Norway,6595.053333333332,"(60.4348405, 5.2902063)"
236586.0,"Gerhard Gransvei 33 N, Bergen",92.0,Bergen,Norway,2571.586956521739,"(60.3518871, 5.3633877)"
181481.844,"Fabrikkgaten 26, Bergen",76.0,Bergen,Norway,2387.919,"(60.3714322, 5.3465247)"
825444.34,"Åstveitveien 43, Øvre Ervik",148.0,Bergen,Norway,5577.326621621622,"(60.451113, 5.301835)"
352655.9,"Nordåsdalen 45, Rådal",75.0,Bergen,Norway,4702.078666666666,"(60.3067272, 5.3250483)"
287880.27,"Nebbestølen 25, Fyllingsdalen",76.0,Bergen,Norway,3787.898289473684,"(60.353062, 5.293016)"
485706.5,"Harald Skjolds veg 62, Rådal",199.0,Bergen,Norway,2440.7361809045224,"(60.310443, 5.323234)"
274060.328,"Øvregaten 9, Bergen",46.0,Bergen,Norway,5957.833217391304,"(60.3957372, 5.3289383)"
336431.398,"Frydenbølien 27, Bergen",99.0,Bergen,Norway,3398.2969494949493,"(60.3814103, 5.3114164)"
511290.64,"C. Sundts gate 57, Bergen",78.0,Bergen,Norway,6555.008205128204,"(60.3983212, 5.3115536)"
316329.5,"Apeltunlien 26, Rådal",72.0,Bergen,Norway,4393.465277777777,"(60.2936622, 5.3395168)"
603913.5,"Bukkedalsåsen 30, Tertnes",277.0,Bergen,Norway,2180.193140794224,"(60.4604053, 5.2967503)"
221549.76,"Herman Grans vei 33, Laksevåg",43.0,Bergen,Norway,5152.32,"(60.3851942, 5.2942821)"
335330.34,"Wessels gate 1B, Bergen",42.0,Bergen,Norway,7984.055714285713,"(60.3855454, 5.3218065)"
939211.332,"Storetveithagen, Bergen",94.0,Bergen,Norway,9991.609914893615,"(nan, nan)"
419072.84,"Adolph Bergs vei 50B, Bergen",131.0,Bergen,Norway,3199.029312977099,"(60.3564675, 5.3616071)"
774098.0399999999,"Møhlenprisbakken 2, Bergen",122.0,Bergen,Norway,6345.065901639344,"(60.386558, 5.319767)"
318379.998,"Frydenbølien 29, Bergen",98.0,Bergen,Norway,3248.775489795918,"(60.3814214, 5.311161)"
530546.8999999999,"Bekkjarvikveien 38, Tertnes",129.0,Bergen,Norway,4112.7666666666655,"(60.4588431, 5.2829334)"
277940.648,"Åsligrenda 86, Ulset",59.0,Bergen,Norway,4710.8584406779655,"(60.4661656, 5.328844)"
256306.316,"Bønesstølen 3E, Bønes",67.0,Bergen,Norway,3825.4674029850735,"(60.328217, 5.304284)"
517182.5,"Leirvikveien 73E, Godvik",144.0,Bergen,Norway,3591.5451388888887,"(60.379577, 5.2000343)"
365160.472,"Skottegaten 1, Bergen",54.0,Bergen,Norway,6762.230962962962,"(60.3936917, 5.316728)"
528104.5,"Hunstadsvingen 13J, Bergen",90.0,Bergen,Norway,5867.827777777778,"(60.3742392, 5.3466272)"
326562.64,"Petedalsheia 80, Sandsli",107.0,Bergen,Norway,3051.9872897196256,"(60.3016933, 5.2894795)"
352960.34,"Vilhelm Bjerknes' vei 58B, Bergen",121.0,Bergen,Norway,2917.027603305785,"(60.347174, 5.35941)"
343905.4,"Bjørnsons gate 19, Bergen",80.0,Bergen,Norway,4298.817499999999,"(60.3722893, 5.3453207)"
217878.506,"Brønndalen 78, Loddefjord",60.0,Bergen,Norway,3631.308433333333,"(60.374953, 5.219127)"
395849.4,"Kvernslåttvegen 17, Rådal",83.0,Bergen,Norway,4769.269879518072,"(60.2984898, 5.3125907)"
561205.8999999999,"Sethøyen 43, Mjølkeråen",39.0,Bergen,Norway,14389.89487179487,"(60.4882283, 5.2666137)"
266424.732,"Bønesstølen 9C, Bønes",65.0,Bergen,Norway,4098.84203076923,"(60.328531, 5.304267)"
