started_at,ended_at,duration,start_station_id,start_station_name,start_station_description,start_station_latitude,start_station_longitude,end_station_id,end_station_name,end_station_description,end_station_latitude,end_station_longitude
2022-12-01 05:27:53.315000+00:00,2022-12-01 05:31:33.170000+00:00,219,128,Lillegårdsbakken,Nederst i Lillegårdsbakken,63.42629161886643,10.404109150403997,21,Bakke bru,Ved holdeplass Bakkegata. Operativt betjeningspanel.,63.432148588449024,10.407380764659592
2022-12-01 05:31:34.954000+00:00,2022-12-01 05:36:55.026000+00:00,320,6,Lademoparken,ved kryss Mellomveien / Innherredsveien. Operativt betjeningspanel.,63.43660495943216,10.425844341516495,66,Verftsbrua,Ved Brattørbrua,63.43527713641004,10.405813604593277
2022-12-01 05:36:27.996000+00:00,2022-12-01 05:50:11.091000+00:00,823,47,Ilaparken,ved Hans Nissens gate,63.429289773431165,10.369248388233245,123,Hesthagen,Ved Klæbuveien ,63.41541842278556,10.399565398693085
2022-12-01 05:52:50.635000+00:00,2022-12-01 05:58:54.909000+00:00,364,108,Bassengbakken, ved Rosenborgbassenget,63.43592006472795,10.414788275957108,20,Nordre gate , Ved Olav Tryggvasons gate,63.433085554043984,10.397391468286514
2022-12-01 06:17:48.748000+00:00,2022-12-01 06:30:12.835000+00:00,744,51,Skansen, ved kryss Mellomila / Illevollen,63.430403126559675,10.37476971745491,2302,Holtermanns veg 1,"I Prof. Brochs gate, utenfor Skatteetaten",63.414746566093925,10.397386363673064
2022-12-01 06:18:23.471000+00:00,2022-12-01 06:36:07.761000+00:00,1064,65,Strandveikaia,langs Stiklestadveien ved Strandveien,63.44208952370503,10.427939146757126,2258,St. Olavs Hospital,Bak kunnskapssenteret,63.42126270770024,10.386516005020496
2022-12-01 06:21:35.285000+00:00,2022-12-01 06:34:14.083000+00:00,758,25,Thornesparken ,I Kirkegata ,63.43289961569575,10.412772931158543,123,Hesthagen,Ved Klæbuveien ,63.41541842278556,10.399565398693085
2022-12-01 06:24:06.531000+00:00,2022-12-01 06:30:51.276000+00:00,404,65,Strandveikaia,langs Stiklestadveien ved Strandveien,63.44208952370503,10.427939146757126,92,Dora I, Ved Byarkivet,63.43853720980968,10.419105291366577
2022-12-01 06:25:07.811000+00:00,2022-12-01 06:39:27.382000+00:00,859,43,Klostergata,Utenfor Coop Prix,63.423087556928024,10.38932740688324,109,Torvet II,Utenfor McDonald's,63.430470910132236,10.393931418657303
2022-12-01 06:25:28.982000+00:00,2022-12-01 06:31:08.535000+00:00,339,2258,St. Olavs Hospital,Bak kunnskapssenteret,63.42126270770024,10.386516005020496,118,Abels gate,Ved Udbyes gate,63.41614341778847,10.396314561367035
2022-12-01 06:25:35.347000+00:00,2022-12-01 06:31:33.876000+00:00,358,86,Lerkendal,  I Strindvegen ved Klæbuveien,63.412525462202666,10.40068656206131,55,Finalebanen,Ved Edvart Griegs gate,63.41978492000792,10.39221078157425
2022-12-01 06:25:48.978000+00:00,2022-12-01 06:33:13.757000+00:00,444,21,Bakke bru,Ved holdeplass Bakkegata. Operativt betjeningspanel.,63.432148588449024,10.407380764659592,2258,St. Olavs Hospital,Bak kunnskapssenteret,63.42126270770024,10.386516005020496
2022-12-01 06:31:12.743000+00:00,2022-12-01 06:35:00.374000+00:00,227,92,Dora I, Ved Byarkivet,63.43853720980968,10.419105291366577,108,Bassengbakken, ved Rosenborgbassenget,63.43592006472795,10.414788275957108
2022-12-01 06:32:56.021000+00:00,2022-12-01 06:46:45.055000+00:00,829,20,Nordre gate , Ved Olav Tryggvasons gate,63.433085554043984,10.397391468286514,2258,St. Olavs Hospital,Bak kunnskapssenteret,63.42126270770024,10.386516005020496
2022-12-01 06:34:05.358000+00:00,2022-12-01 06:43:25.879000+00:00,560,86,Lerkendal,  I Strindvegen ved Klæbuveien,63.412525462202666,10.40068656206131,74,Erling Skakkes gate, Ved Vår Frues gate,63.42889745011402,10.39928913116455
2022-12-01 06:35:37.067000+00:00,2022-12-01 06:40:07.890000+00:00,270,108,Bassengbakken, ved Rosenborgbassenget,63.43592006472795,10.414788275957108,105,Trondheim S,Med operativt betjeningspanel.,63.436215184202325,10.39990465658218
2022-12-01 06:40:43.834000+00:00,2022-12-01 06:43:10.604000+00:00,146,108,Bassengbakken, ved Rosenborgbassenget,63.43592006472795,10.414788275957108,85,TMV-odden,Solsiden,63.43547778770301,10.410569131581866
2022-12-01 06:43:47.366000+00:00,2022-12-01 06:53:21.092000+00:00,573,85,TMV-odden,Solsiden,63.43547778770301,10.410569131581866,45,Studentersamfundet,sør for Eddaparken. Operativt betjeningspanel.,63.42185871322338,10.39451614022255
2022-12-01 06:44:04.018000+00:00,2022-12-01 06:49:45.140000+00:00,341,86,Lerkendal,  I Strindvegen ved Klæbuveien,63.412525462202666,10.40068656206131,55,Finalebanen,Ved Edvart Griegs gate,63.41978492000792,10.39221078157425
2022-12-01 06:45:33.741000+00:00,2022-12-01 06:52:21.581000+00:00,407,52,Bakklandet,Parkeringsplassen ved Brubakken. Operativt betjeningspanel.,63.427896581278105,10.403341750766884,2258,St. Olavs Hospital,Bak kunnskapssenteret,63.42126270770024,10.386516005020496
2022-12-01 06:48:09.916000+00:00,2022-12-01 06:58:26.716000+00:00,616,21,Bakke bru,Ved holdeplass Bakkegata. Operativt betjeningspanel.,63.432148588449024,10.407380764659592,123,Hesthagen,Ved Klæbuveien ,63.41541842278556,10.399565398693085
2022-12-01 06:48:11.194000+00:00,2022-12-01 06:53:13.750000+00:00,302,65,Strandveikaia,langs Stiklestadveien ved Strandveien,63.44208952370503,10.427939146757126,85,TMV-odden,Solsiden,63.43547778770301,10.410569131581866
