started_at,ended_at,duration,start_station_id,start_station_name,start_station_description,start_station_latitude,start_station_longitude,end_station_id,end_station_name,end_station_description,end_station_latitude,end_station_longitude
2023-03-28 05:20:23.103000+00:00,2023-03-28 05:22:38.399000+00:00,135,20,Nordre gate , Ved Olav Tryggvasons gate,63.433085554043984,10.397391468286514,28,Kongens gate,Ved Nordre gate,63.43045711348886,10.398100912570953
2023-03-28 06:04:17.311000+00:00,2023-03-28 06:10:59.123000+00:00,401,109,Torvet II,Utenfor McDonald's,63.430470910132236,10.393931418657303,45,Studentersamfundet,sør for Eddaparken. Operativt betjeningspanel.,63.42185871322338,10.39451614022255
2023-03-28 06:17:41.164000+00:00,2023-03-28 06:23:02.849000+00:00,321,19,Jomfrugateallmenningen,Fjordgata vest,63.434423074986874,10.395468324422836,108,Bassengbakken, ved Rosenborgbassenget,63.43592006472795,10.414788275957108
2023-03-28 06:26:25.853000+00:00,2023-03-28 06:34:24.554000+00:00,478,30,St. Olavs gate,Ved trikkeholdeplass,63.431170931099416,10.390283614397049,107,Pirbadet, Ved Havnegata,63.44075835708318,10.402169823646545
2023-03-28 07:10:01.175000+00:00,2023-03-28 07:21:15.248000+00:00,674,108,Bassengbakken, ved Rosenborgbassenget,63.43592006472795,10.414788275957108,51,Skansen, ved kryss Mellomila / Illevollen,63.430403126559675,10.37476971745491
2023-03-28 07:34:36.123000+00:00,2023-03-28 07:40:33.948000+00:00,357,51,Skansen, ved kryss Mellomila / Illevollen,63.430403126559675,10.37476971745491,30,St. Olavs gate,Ved trikkeholdeplass,63.431170931099416,10.390283614397049
2023-03-28 07:45:42.049000+00:00,2023-03-28 07:50:35.067000+00:00,293,85,TMV-odden,Solsiden,63.43547778770301,10.410569131581866,74,Erling Skakkes gate, Ved Vår Frues gate,63.42889745011402,10.39928913116455
2023-03-28 07:57:35.976000+00:00,2023-03-28 08:03:16.578000+00:00,340,51,Skansen, ved kryss Mellomila / Illevollen,63.430403126559675,10.37476971745491,9,Brattørkaia,Ved hurtigbåtterminalen. Operativt betjeningspanel.,63.43740318294613,10.39729356765747
2023-03-28 08:57:24.499000+00:00,2023-03-28 09:01:19.876000+00:00,235,19,Jomfrugateallmenningen,Fjordgata vest,63.434423074986874,10.395468324422836,85,TMV-odden,Solsiden,63.43547778770301,10.410569131581866
2023-03-28 10:51:14.502000+00:00,2023-03-28 11:29:10.399000+00:00,2275,65,Strandveikaia,langs Stiklestadveien ved Strandveien,63.44208952370503,10.427939146757126,6,Lademoparken,ved kryss Mellomveien / Innherredsveien. Operativt betjeningspanel.,63.43660495943216,10.425844341516495
2023-03-28 10:51:16.396000+00:00,2023-03-28 11:29:04.874000+00:00,2268,65,Strandveikaia,langs Stiklestadveien ved Strandveien,63.44208952370503,10.427939146757126,6,Lademoparken,ved kryss Mellomveien / Innherredsveien. Operativt betjeningspanel.,63.43660495943216,10.425844341516495
2023-03-28 11:03:43.275000+00:00,2023-03-28 11:11:10.711000+00:00,447,74,Erling Skakkes gate, Ved Vår Frues gate,63.42889745011402,10.39928913116455,1878,Idrettsbygget Gløshaugen,ved Christian Frederiks gate,63.42078238303412,10.404757641464101
2023-03-28 11:18:47.113000+00:00,2023-03-28 11:32:43.225000+00:00,836,148,Fjordgata,Ved 4Sound,63.43483884684911,10.403396522008734,128,Lillegårdsbakken,Nederst i Lillegårdsbakken,63.42629161886643,10.404109150403997
2023-03-28 11:26:19.437000+00:00,2023-03-28 11:30:47.781000+00:00,268,21,Bakke bru,Ved holdeplass Bakkegata. Operativt betjeningspanel.,63.432148588449024,10.407380764659592,52,Bakklandet,Parkeringsplassen ved Brubakken. Operativt betjeningspanel.,63.427896581278105,10.403341750766884
2023-03-28 11:36:34.293000+00:00,2023-03-28 11:46:07.845000+00:00,573,43,Klostergata,Utenfor Coop Prix,63.423087556928024,10.38932740688324,1,Dokkparken,Ved kryss Innherredsveien / Verftsgata. Operativt betjeningspanel.,63.433509009133566,10.411412715911865
2023-03-28 11:54:54.845000+00:00,2023-03-28 12:00:56.645000+00:00,361,51,Skansen, ved kryss Mellomila / Illevollen,63.430403126559675,10.37476971745491,20,Nordre gate , Ved Olav Tryggvasons gate,63.433085554043984,10.397391468286514
2023-03-28 12:05:34.455000+00:00,2023-03-28 12:11:35.293000+00:00,360,45,Studentersamfundet,sør for Eddaparken. Operativt betjeningspanel.,63.42185871322338,10.39451614022255,109,Torvet II,Utenfor McDonald's,63.430470910132236,10.393931418657303
2023-03-28 12:07:25.855000+00:00,2023-03-28 12:17:34.688000+00:00,608,51,Skansen, ved kryss Mellomila / Illevollen,63.430403126559675,10.37476971745491,118,Abels gate,Ved Udbyes gate,63.41614341778847,10.396314561367035
2023-03-28 12:19:41.912000+00:00,2023-03-28 12:30:57.982000+00:00,676,175,Torvet I,ved Prinsensgate,63.43051170410531,10.392764550201036,86,Lerkendal,  I Strindvegen ved Klæbuveien,63.412525462202666,10.40068656206131
2023-03-28 12:57:55.248000+00:00,2023-03-28 13:04:18.744000+00:00,383,1878,Idrettsbygget Gløshaugen,ved Christian Frederiks gate,63.42078238303412,10.404757641464101,74,Erling Skakkes gate, Ved Vår Frues gate,63.42889745011402,10.39928913116455
2023-03-28 13:28:18.132000+00:00,2023-03-28 13:37:50.085000+00:00,571,30,St. Olavs gate,Ved trikkeholdeplass,63.431170931099416,10.390283614397049,1879,Ilsvika,ved 3T Ilsvika,63.43132548001944,10.357520394276179
2023-03-28 13:29:45.562000+00:00,2023-03-28 13:39:31.752000+00:00,586,85,TMV-odden,Solsiden,63.43547778770301,10.410569131581866,19,Jomfrugateallmenningen,Fjordgata vest,63.434423074986874,10.395468324422836
2023-03-28 13:42:30.400000+00:00,2023-03-28 13:50:33.033000+00:00,482,107,Pirbadet, Ved Havnegata,63.44075835708318,10.402169823646545,1,Dokkparken,Ved kryss Innherredsveien / Verftsgata. Operativt betjeningspanel.,63.433509009133566,10.411412715911865
2023-03-28 13:50:24.227000+00:00,2023-03-28 13:57:45.051000+00:00,440,51,Skansen, ved kryss Mellomila / Illevollen,63.430403126559675,10.37476971745491,126,Leutenhaven,i Repslagerveita mot Prinsens gate. Operativt betjeningspanel.,63.42994558007871,10.391905842869932
2023-03-28 14:00:43.119000+00:00,2023-03-28 14:02:55.957000+00:00,132,28,Kongens gate,Ved Nordre gate,63.43045711348886,10.398100912570953,20,Nordre gate , Ved Olav Tryggvasons gate,63.433085554043984,10.397391468286514
2023-03-28 14:04:53.754000+00:00,2023-03-28 14:14:08.939000+00:00,555,74,Erling Skakkes gate, Ved Vår Frues gate,63.42889745011402,10.39928913116455,18,Møllenberg,langs Innherredsveien ved Kirkegata,63.4358846800558,10.419401004910469
2023-03-28 14:12:52.678000+00:00,2023-03-28 14:19:09.175000+00:00,376,85,TMV-odden,Solsiden,63.43547778770301,10.410569131581866,20,Nordre gate , Ved Olav Tryggvasons gate,63.433085554043984,10.397391468286514
2023-03-28 14:16:49.522000+00:00,2023-03-28 14:22:09.541000+00:00,320,85,TMV-odden,Solsiden,63.43547778770301,10.410569131581866,19,Jomfrugateallmenningen,Fjordgata vest,63.434423074986874,10.395468324422836
2023-03-28 14:27:23.344000+00:00,2023-03-28 14:32:37.722000+00:00,314,85,TMV-odden,Solsiden,63.43547778770301,10.410569131581866,19,Jomfrugateallmenningen,Fjordgata vest,63.434423074986874,10.395468324422836
2023-03-28 14:30:40.319000+00:00,2023-03-28 14:52:48.996000+00:00,1328,109,Torvet II,Utenfor McDonald's,63.430470910132236,10.393931418657303,65,Strandveikaia,langs Stiklestadveien ved Strandveien,63.44208952370503,10.427939146757126
2023-03-28 14:33:19.245000+00:00,2023-03-28 14:37:02.009000+00:00,222,65,Strandveikaia,langs Stiklestadveien ved Strandveien,63.44208952370503,10.427939146757126,85,TMV-odden,Solsiden,63.43547778770301,10.410569131581866
2023-03-28 14:46:18.115000+00:00,2023-03-28 14:54:39.114000+00:00,500,51,Skansen, ved kryss Mellomila / Illevollen,63.430403126559675,10.37476971745491,21,Bakke bru,Ved holdeplass Bakkegata. Operativt betjeningspanel.,63.432148588449024,10.407380764659592
2023-03-28 14:48:57.771000+00:00,2023-03-28 14:55:37.966000+00:00,400,85,TMV-odden,Solsiden,63.43547778770301,10.410569131581866,109,Torvet II,Utenfor McDonald's,63.430470910132236,10.393931418657303
2023-03-28 14:50:32.535000+00:00,2023-03-28 14:57:28.882000+00:00,416,97,Håkon VIIs gate 8-10,Ved Burgerking,63.440766667542505,10.45927620210125,1883,Baldershage,ved Kong Øysteins veg,63.43032895814139,10.453960590206151
2023-03-28 14:56:24.229000+00:00,2023-03-28 15:04:12.399000+00:00,468,28,Kongens gate,Ved Nordre gate,63.43045711348886,10.398100912570953,41,Vollabakken, Ved Klostergata,63.42193791751501,10.399257121622668
2023-03-28 14:59:00.720000+00:00,2023-03-28 15:19:33.527000+00:00,1232,45,Studentersamfundet,sør for Eddaparken. Operativt betjeningspanel.,63.42185871322338,10.39451614022255,47,Ilaparken,ved Hans Nissens gate,63.429289773431165,10.369248388233245
2023-03-28 15:04:12.061000+00:00,2023-03-28 15:18:43.670000+00:00,871,14,Nidarosdomen,i Bispegata ved Katedralskolen. ,63.427610017040934,10.394511072969863,10,Sorgenfri,ved Sorgenfriveien 13-15,63.40489658467209,10.399461013433495
2023-03-28 15:09:26.643000+00:00,2023-03-28 15:12:42.106000+00:00,195,85,TMV-odden,Solsiden,63.43547778770301,10.410569131581866,19,Jomfrugateallmenningen,Fjordgata vest,63.434423074986874,10.395468324422836
2023-03-28 15:12:33.902000+00:00,2023-03-28 15:22:59.173000+00:00,625,109,Torvet II,Utenfor McDonald's,63.430470910132236,10.393931418657303,123,Hesthagen,Ved Klæbuveien ,63.41541842278556,10.399565398693085
2023-03-28 15:14:18.491000+00:00,2023-03-28 15:25:55.704000+00:00,697,62,Kalvskinnet,Kalvskinnsgata/Erling Skakkes gate,63.42792321730192,10.389504432678223,2303,Tempe,Utenfor MAX-bygget i Tempevegen,63.40772802863199,10.39705323440262
2023-03-28 15:15:31.496000+00:00,2023-03-28 15:20:05.840000+00:00,274,85,TMV-odden,Solsiden,63.43547778770301,10.410569131581866,74,Erling Skakkes gate, Ved Vår Frues gate,63.42889745011402,10.39928913116455
2023-03-28 15:26:22.858000+00:00,2023-03-28 15:37:28.467000+00:00,665,109,Torvet II,Utenfor McDonald's,63.430470910132236,10.393931418657303,86,Lerkendal,  I Strindvegen ved Klæbuveien,63.412525462202666,10.40068656206131
2023-03-28 15:37:13.514000+00:00,2023-03-28 15:50:30.293000+00:00,796,47,Ilaparken,ved Hans Nissens gate,63.429289773431165,10.369248388233245,108,Bassengbakken, ved Rosenborgbassenget,63.43592006472795,10.414788275957108
2023-03-28 15:37:27.755000+00:00,2023-03-28 15:43:53.288000+00:00,385,65,Strandveikaia,langs Stiklestadveien ved Strandveien,63.44208952370503,10.427939146757126,1885,Nova Kino,ved Danielsbakerveita,63.43337733865644,10.401074857528158
2023-03-28 15:37:47.980000+00:00,2023-03-28 15:47:42.565000+00:00,594,65,Strandveikaia,langs Stiklestadveien ved Strandveien,63.44208952370503,10.427939146757126,1885,Nova Kino,ved Danielsbakerveita,63.43337733865644,10.401074857528158
2023-03-28 16:57:51.046000+00:00,2023-03-28 17:07:27.836000+00:00,576,65,Strandveikaia,langs Stiklestadveien ved Strandveien,63.44208952370503,10.427939146757126,52,Bakklandet,Parkeringsplassen ved Brubakken. Operativt betjeningspanel.,63.427896581278105,10.403341750766884
