from_stop_id,from_trip_id,to_stop_id,to_trip_id,transfer_type
NSR:Quay:10222,RUT:ServiceJourney:136fb8be64870601643ba5480a59a217,NSR:Quay:10226,RUT:ServiceJourney:95c3946c411eca4f76bb93d11280c424,1
NSR:Quay:28347,RUT:ServiceJourney:742e5c2a84de31489844803b11c1e836,NSR:Quay:28347,RUT:ServiceJourney:faa473a869198fa9a1f22741a0bad45c,1
NSR:Quay:10635,RUT:ServiceJourney:9a2cc4e3b9919cdce8193c6fc3b72a49,NSR:Quay:10635,RUT:ServiceJourney:d4dd31f60737f060459f08443deaf619,1
NSR:Quay:10100,RUT:ServiceJourney:957eeda08acbefbacf42171ae89d1e78,NSR:Quay:10102,RUT:ServiceJourney:c9e8a24d00576b95c0ede15b0fc6c229,1
NSR:Quay:10221,RUT:ServiceJourney:b4302ce75f07cf9761f51b07e9ada5d4,NSR:Quay:10226,RUT:ServiceJourney:3cd2aed0357aa8a11d70452f89426292,1
NSR:Quay:10226,RUT:ServiceJourney:5ec2da5f0c5a8a31bdb6047635a6c488,NSR:Quay:10221,RUT:ServiceJourney:215d19a50de725784f1c10405757dfdb,1
NSR:Quay:10097,RUT:ServiceJourney:3914363adbb3fd013705ffe9f9ab1fda,NSR:Quay:10100,RUT:ServiceJourney:03ad660bd4099a0853d478aced2e18c9,1
NSR:Quay:6813,RUT:ServiceJourney:df16ecd1b198817139248c17dd782968,NSR:Quay:6812,RUT:ServiceJourney:0fb2564002c5ac43707a97ca0ce11310,1
NSR:Quay:10660,RUT:ServiceJourney:6b82f73b5690a04935705d70d3ca3aed,NSR:Quay:10660,RUT:ServiceJourney:053af0384f4ea48a55bcb8aef3d10d54,1
NSR:Quay:10095,RUT:ServiceJourney:398add0f361f4f5d5b7c86e7cc05fbca,NSR:Quay:10100,RUT:ServiceJourney:d2ffde140f66da03d03615427eff5408,1
NSR:Quay:10102,RUT:ServiceJourney:7e7d7a3efed4249dfcfddeacf577a46e,NSR:Quay:10098,RUT:ServiceJourney:63400500ab1a5726d6a14013627b0f0d,1
NSR:Quay:6143,RUT:ServiceJourney:bff46809457313a7fdd47e0796e85acf,NSR:Quay:6143,RUT:ServiceJourney:b7bb802fd9d2b4a09ccc76af3367a0da,1
NSR:Quay:10221,RUT:ServiceJourney:41f52649922fff778f919177af3fa519,NSR:Quay:10226,RUT:ServiceJourney:94a93b2299696fc3b10f54d9b87a2524,1
NSR:Quay:7786,RUT:ServiceJourney:f3501b459f4b094f752dc9e8c5013450,NSR:Quay:7786,RUT:ServiceJourney:6602a99695eccc4c06712480becb399f,1
NSR:Quay:7786,RUT:ServiceJourney:ba72ab7ca037d8938f5669d057c31eb5,NSR:Quay:7787,RUT:ServiceJourney:9fc63fd08a976dca89cd085cbef44b82,1
NSR:Quay:10102,RUT:ServiceJourney:54fd9563ce81d710dc4d661703f18a60,NSR:Quay:10098,RUT:ServiceJourney:37a7b39760421d4f152b81f522dcc913,1
NSR:Quay:10226,RUT:ServiceJourney:cdaab53d38ec20b39982fda5278e5771,NSR:Quay:10221,RUT:ServiceJourney:93d11a2249d763c90c10cb607407a755,1
NSR:Quay:5654,RUT:ServiceJourney:dc5f272430d16dfe67d645d3c780fcf4,NSR:Quay:5651,RUT:ServiceJourney:40d81678c9b0918cc04c78db3518f333,1
NSR:Quay:7787,RUT:ServiceJourney:3e693b6425c9050e5e6f28c624cb1d76,NSR:Quay:7787,RUT:ServiceJourney:68d1f340ce613ac56ec89f95b4d61ee2,1
