agency_id,route_id,route_short_name,route_long_name,route_type,route_color,route_text_color
RUT:Authority:RUT,RUT:Line:2265,265E,Nesøya - Oslo bussterminal,702,76A300,FFFFFF
RUT:Authority:RUT,RUT:Line:23,23,Lysaker - Simensbråten,704,E60000,FFFFFF
RUT:Authority:RUT,RUT:Line:230,230,Sandvika - Bekkestua - Østerås - Ila,704,76A300,FFFFFF
RUT:Authority:RUT,RUT:Line:2300,300E,Ekspress Blystadlia - Helsfyr,702,E60000,FFFFFF
RUT:Authority:RUT,RUT:Line:235,235,Østerås - Grini Næringspark - Listuveien,704,76A300,FFFFFF
RUT:Authority:RUT,RUT:Line:2370,370B,Sørumsand - Blaker - Sørumsand,704,76A300,FFFFFF
RUT:Authority:RUT,RUT:Line:2390,390E,Hellerudhaugen - Oslo bussterminal,702,76A300,FFFFFF
RUT:Authority:RUT,RUT:Line:24,24,Fornebu vest - Brynseng T,704,E60000,FFFFFF
RUT:Authority:RUT,RUT:Line:240,240,Skui - Sandvika,704,76A300,FFFFFF
RUT:Authority:RUT,RUT:Line:2400,400E,Eltonåsen - Oslo Ekspress,702,76A300,FFFFFF
RUT:Authority:RUT,RUT:Line:245,245,Kattås - Tanum - Sandvika,704,76A300,FFFFFF
RUT:Authority:RUT,RUT:Line:2470,470E,Eidslia - Helsfyr,702,76A300,FFFFFF
RUT:Authority:RUT,RUT:Line:25,25,Majorstuen-Haugerud,704,E60000,FFFFFF
RUT:Authority:RUT,RUT:Line:250,250,Sætre - Slemmestad - Nationaltheatret,704,76A300,FFFFFF
RUT:Authority:RUT,RUT:Line:2505,505E,Skorkeberg - Oslo,704,76A300,FFFFFF
RUT:Authority:RUT,RUT:Line:251,251,Drammen - Hyggen - Åsheim - Sætre,704,76A300,FFFFFF
RUT:Authority:RUT,RUT:Line:2540,540N,Oslo - Ski - Ås - Vestby,705,76A300,FFFFFF
RUT:Authority:RUT,RUT:Line:2545,545A,Son med klokka,704,76A300,FFFFFF
RUT:Authority:RUT,RUT:Line:256,256,Verket - Åsheim - Holmsbu - Tofte - Sætre,704,76A300,FFFFFF
RUT:Authority:RUT,RUT:Line:2560,560N,Blylaget - Hellvik - Nesoddtangen,704,76A300,FFFFFF
RUT:Authority:RUT,RUT:Line:2565,565E,Hellvik - Nesoddtangen,704,76A300,FFFFFF
RUT:Authority:RUT,RUT:Line:26,26,Bislett-Ellingsrudåsen,704,E60000,FFFFFF
RUT:Authority:RUT,RUT:Line:260,260,Hyggen - Bråset -Slemmestad (- Asker),704,76A300,FFFFFF
RUT:Authority:RUT,RUT:Line:261,261,Drammen - Lahell - Røyken - Sætre,704,76A300,FFFFFF
RUT:Authority:RUT,RUT:Line:2630,2630,Bingsfoss - Ormstad,712,76A300,FFFFFF
RUT:Authority:RUT,RUT:Line:2631,2631,Lørenfallet - Simarud - Veslesjea - Sørumsand,712,76A300,FFFFFF
RUT:Authority:RUT,RUT:Line:2632,2632,Grønnbekkveien - Blaker skole - Sørumsand,712,76A300,FFFFFF
RUT:Authority:RUT,RUT:Line:2633,2633,Bingsfoss - Grønnbekkveien,712,76A300,FFFFFF
RUT:Authority:RUT,RUT:Line:2634,2634,Skugstad - Mork - Blaker skole - Sørumsand,712,76A300,FFFFFF
RUT:Authority:RUT,RUT:Line:2635,2635,Blaker skole - Hellne - Sørumsand,712,76A300,FFFFFF
RUT:Authority:RUT,RUT:Line:2636,2636,Blaker skole - Kvevli - Mork - Harkerud,712,76A300,FFFFFF
RUT:Authority:RUT,RUT:Line:2639,2639,Vardefjellet - Frogner skole,712,76A300,FFFFFF
RUT:Authority:RUT,RUT:Line:2640,2640,Knatten - Arteid - Frogner,712,76A300,FFFFFF
RUT:Authority:RUT,RUT:Line:2641,2641,Frogner skole - Lundermoen - Vesterskaun skole,712,76A300,FFFFFF
RUT:Authority:RUT,RUT:Line:2642,2642,Vardefjellet - Frogner skole - Sørumsand,712,76A300,FFFFFF
RUT:Authority:RUT,RUT:Line:265,265,Sandvika - Nesøya - Sandvika,704,76A300,FFFFFF
RUT:Authority:RUT,RUT:Line:2671,2671,Sundet - Sørumsand,712,76A300,FFFFFF
RUT:Authority:RUT,RUT:Line:2673,2673,Bjørkelangen - Sørumsand,712,76A300,FFFFFF
RUT:Authority:RUT,RUT:Line:270,270,Asker - Sandvika (- Fornebu),704,76A300,FFFFFF
RUT:Authority:RUT,RUT:Line:2731,2731,Vinsnes - Jølsen - Garderåsen - Sundet,712,76A300,FFFFFF
RUT:Authority:RUT,RUT:Line:2732,2732,Dammerud - Tofsrud - Lystad - Riddersand skole,712,76A300,FFFFFF
RUT:Authority:RUT,RUT:Line:2733,2733,Stigen - Stensrud - Dalen skole - Sundet,712,76A300,FFFFFF
RUT:Authority:RUT,RUT:Line:2734,2734,Krokedal - Sand - Dalen skole - Sundet,712,76A300,FFFFFF
RUT:Authority:RUT,RUT:Line:275,275,Asker - Vøyen,704,76A300,FFFFFF
RUT:Authority:RUT,RUT:Line:28,28,Fornebu vest - Økern T,704,E60000,FFFFFF
RUT:Authority:RUT,RUT:Line:280,280,Asker - Dikemark - Heggedal,704,76A300,FFFFFF
RUT:Authority:RUT,RUT:Line:281,281,Borgen - Asker,704,76A300,FFFFFF
RUT:Authority:RUT,RUT:Line:2840,140E,Hosle - Nationaltheatret,702,76A300,FFFFFF
RUT:Authority:RUT,RUT:Line:285,285,Heggedal - Blakstad - Asker,704,76A300,FFFFFF
RUT:Authority:RUT,RUT:Line:2850,150E,Gullhaug - Nationaltheatret,702,76A300,FFFFFF
RUT:Authority:RUT,RUT:Line:286,286,Rustadgrenda-Heggedal,704,76A300,FFFFFF
RUT:Authority:RUT,RUT:Line:2871,2871,Ask - Lillestrøm - Rælingen vgs.,712,76A300,FFFFFF
RUT:Authority:RUT,RUT:Line:2873,2873,Røykås - Lørenskog sentrum - Strømmen - Rælingen,712,76A300,FFFFFF
RUT:Authority:RUT,RUT:Line:290,290,Asker - Blakstad,704,76A300,FFFFFF
RUT:Authority:RUT,RUT:Line:291,291,Asker - Ånnerud - Vardåsen - Drengsrud,704,76A300,FFFFFF
RUT:Authority:RUT,RUT:Line:292,292,Asker - Bondi - Blakstad - Bleikerkollen,704,76A300,FFFFFF
RUT:Authority:RUT,RUT:Line:293,293,Asker - Leangkollen - Konglungen,704,76A300,FFFFFF
RUT:Authority:RUT,RUT:Line:2931,2931,Dalefjerdingen - Enebakk kirke,712,76A300,FFFFFF
RUT:Authority:RUT,RUT:Line:2932,2932,Ekebergdalen - Enebakk kirke,712,76A300,FFFFFF
RUT:Authority:RUT,RUT:Line:2933,2933,Ytre Enebakk skole,712,76A300,FFFFFF
RUT:Authority:RUT,RUT:Line:294,294,Asker - Borgen - Bondivann stasjon,704,76A300,FFFFFF
RUT:Authority:RUT,RUT:Line:295,295,Guibekken - Vollen,704,76A300,FFFFFF
RUT:Authority:RUT,RUT:Line:296,296,Asker - Heggedal - Torp - Rortunet,704,76A300,FFFFFF
RUT:Authority:RUT,RUT:Line:297,297,Asker - Solgården - Høn - Undelstad,704,76A300,FFFFFF
RUT:Authority:RUT,RUT:Line:298,298,Konglungen - Vettre,704,76A300,FFFFFF
RUT:Authority:RUT,RUT:Line:3,3,Kolsås - Mortensrud,401,EC700C,FFFFFF
RUT:Authority:RUT,RUT:Line:30,30,Bygdøy - Nydalen,704,E60000,FFFFFF
RUT:Authority:RUT,RUT:Line:300,300,Blystadlia - Ahus - Oslo bussterminal,704,E60000,FFFFFF
RUT:Authority:RUT,RUT:Line:3002,2B,Buss for linje 2,704,E60000,FFFFFF
RUT:Authority:RUT,RUT:Line:3004,4B,Buss for linje 4,704,E60000,FFFFFF
RUT:Authority:RUT,RUT:Line:3017,17B,Buss for linje 17,704,E60000,FFFFFF
RUT:Authority:RUT,RUT:Line:3073,3073,Vallerudtoppen - Skåreråsen - Ahus - Knatten,712,76A300,FFFFFF
RUT:Authority:RUT,RUT:Line:3075,75C,Lambertseter ring,704,E60000,FFFFFF
RUT:Authority:RUT,RUT:Line:3077,77X,Hauketo stasjon - Bjørndal,704,E60000,FFFFFF
RUT:Authority:RUT,RUT:Line:3080,80X,Buss for tog Tollboden - Holmlia,704,E60000,FFFFFF
RUT:Authority:RUT,RUT:Line:3081,81X,Buss for tog Oslo S - Kolbotn,704,E60000,FFFFFF
RUT:Authority:RUT,RUT:Line:31,31,Snarøya - Fornebu - Tonsenhagen - Grorud,704,E60000,FFFFFF
RUT:Authority:RUT,RUT:Line:310,310,Fjerdingby - Vallerudtoppen,704,76A300,FFFFFF
RUT:Authority:RUT,RUT:Line:3110,110E,Sørlihavna - Helsfyr,702,76A300,FFFFFF
RUT:Authority:RUT,RUT:Line:3115,115E,Vallerudtoppen - Helsfyr,702,76A300,FFFFFF
RUT:Authority:RUT,RUT:Line:3125,125E,Nesåsen - Økern,702,76A300,FFFFFF
RUT:Authority:RUT,RUT:Line:3130,130N,Nationaltheatret - Sandvika,705,E60000,FFFFFF
RUT:Authority:RUT,RUT:Line:3131,3131,Vardeåsen - Tærudhallen,712,76A300,FFFFFF
RUT:Authority:RUT,RUT:Line:3140,140N,Nationaltheatret - Bekkestua,705,E60000,FFFFFF
RUT:Authority:RUT,RUT:Line:315,315,Vallerudtoppen - Ahus,704,76A300,FFFFFF
RUT:Authority:RUT,RUT:Line:316,316,Øvre Grønlia - Hanaborg - Lørenskog sentrum,704,76A300,FFFFFF
RUT:Authority:RUT,RUT:Line:3172,3172,Hakadal - Gjelleråstoppen - Skjetten - Lillestrøm,712,76A300,FFFFFF
RUT:Authority:RUT,RUT:Line:3175,3175,Lørenfallet - Arteid - Lillestrøm,712,76A300,FFFFFF
RUT:Authority:RUT,RUT:Line:320,320,Garderåsen - Lillestrøm,704,76A300,FFFFFF
RUT:Authority:RUT,RUT:Line:321,321,Fetsund - Garderåsen,704,76A300,FFFFFF
RUT:Authority:RUT,RUT:Line:3240,240N,Sandvika - Tanum - Skui,705,76A300,FFFFFF
RUT:Authority:RUT,RUT:Line:3250,250N,Nationaltheatretl - Sandvika- Slemmestad- Sætre,705,76A300,FFFFFF
RUT:Authority:RUT,RUT:Line:326,326,Fet,704,76A300,FFFFFF
RUT:Authority:RUT,RUT:Line:330,330,Fjerdingby - Lillestrøm,704,76A300,FFFFFF
RUT:Authority:RUT,RUT:Line:3331,3331,Holum skog - Li skole,712,76A300,FFFFFF
RUT:Authority:RUT,RUT:Line:3333,3333,Åneby stasjon - Elvetangen,712,76A300,FFFFFF
RUT:Authority:RUT,RUT:Line:3334,3334,Elvetangen - Kongskog,712,76A300,FFFFFF
RUT:Authority:RUT,RUT:Line:3335,3335,Hellerudhaugen - Elvetangen,712,76A300,FFFFFF
RUT:Authority:RUT,RUT:Line:335,335,Lillestrøm - Branderud,704,76A300,FFFFFF
RUT:Authority:RUT,RUT:Line:3371,3371,Lillestrøm - Skjetten - Holum skog - Bjertnes vgs,712,76A300,FFFFFF
RUT:Authority:RUT,RUT:Line:3374,3374,Skedsmokorset - Solberg - Bjertnes vgs,712,76A300,FFFFFF
RUT:Authority:RUT,RUT:Line:34,34,Tåsen - Ekeberg hageby,704,E60000,FFFFFF
RUT:Authority:RUT,RUT:Line:340,340,Skedsmokorset - Olavsgaard - Lillestrøm,704,76A300,FFFFFF
RUT:Authority:RUT,RUT:Line:3431,3431,Nitteberg - Kankedalen,712,76A300,FFFFFF
RUT:Authority:RUT,RUT:Line:345,345,Vestvollen - Økern,704,76A300,FFFFFF
RUT:Authority:RUT,RUT:Line:350,350,Lillestrøm - Ski,704,76A300,FFFFFF
RUT:Authority:RUT,RUT:Line:3500,500N,Drøbak - Oslo natt og morgen,705,76A300,FFFFFF
RUT:Authority:RUT,RUT:Line:3531,3531,Ekornrud - Algarheim,712,76A300,FFFFFF
RUT:Authority:RUT,RUT:Line:3532,3532,Gystadmaraka - Hauerseter - Nordkisa,712,76A300,FFFFFF
RUT:Authority:RUT,RUT:Line:3533,3533,Lundsletta - Borgen - Jessheim,712,76A300,FFFFFF
RUT:Authority:RUT,RUT:Line:3534,3534,Stokker - Løkendalen,712,76A300,FFFFFF
RUT:Authority:RUT,RUT:Line:3535,3535,Østli - Mogreina,712,76A300,FFFFFF
RUT:Authority:RUT,RUT:Line:3538,3538,Nordkisa -  Jessheim - Nannestad,712,76A300,FFFFFF
RUT:Authority:RUT,RUT:Line:3545,545B,Son mot klokka,704,76A300,FFFFFF
RUT:Authority:RUT,RUT:Line:3571,3571,Veståsen - Ask - Kløfta - Jessheim,712,76A300,FFFFFF
RUT:Authority:RUT,RUT:Line:3574,3574,Stokker-Borgen -Nybakk-Jessheim,712,76A300,FFFFFF
RUT:Authority:RUT,RUT:Line:3575,3575,Nannestad - Krokfoss - Jessheim,712,76A300,FFFFFF
RUT:Authority:RUT,RUT:Line:360,360,Vardefjellet/Vardeåsen - Blystadlia,704,76A300,FFFFFF
RUT:Authority:RUT,RUT:Line:3633,3633,Frilset/Bårstad - Fenstad - Vormsund,712,76A300,FFFFFF
RUT:Authority:RUT,RUT:Line:3634,3634,Brårud/Neskollen - Vormsund,712,76A300,FFFFFF
RUT:Authority:RUT,RUT:Line:3636,3636,Tomteråsen -  Vormsund - Grenihagen,712,76A300,FFFFFF
RUT:Authority:RUT,RUT:Line:3637,3637,Brårud - Fenstad - Vormsund,712,76A300,FFFFFF
RUT:Authority:RUT,RUT:Line:3638,3638,Skogbygda - Vormsund - Neskollen,712,76A300,FFFFFF
RUT:Authority:RUT,RUT:Line:3639,3639,Herbergåsen - Skogbygda - Vormsund,712,76A300,FFFFFF
RUT:Authority:RUT,RUT:Line:3640,3640,Bjertnestunet - Skogbygda,712,76A300,FFFFFF
RUT:Authority:RUT,RUT:Line:3641,3641,Vormsund - Uvesund - Opaker - Skogbygda,712,76A300,FFFFFF
RUT:Authority:RUT,RUT:Line:3643,3643,Simarud - Udnes - Fuglefjellet - Neskollen,712,76A300,FFFFFF
RUT:Authority:RUT,RUT:Line:3644,3644,Fuglefjellet - Hvam - Neskollen,712,76A300,FFFFFF
RUT:Authority:RUT,RUT:Line:365,365,Sørumsand - Frogner - Skedsmokorset,704,76A300,FFFFFF
RUT:Authority:RUT,RUT:Line:3652,3652,Opaker - Smedsrud - Østgård,712,76A300,FFFFFF
RUT:Authority:RUT,RUT:Line:3657,3657,Årnes - Brauter - Framtun,712,76A300,FFFFFF
RUT:Authority:RUT,RUT:Line:3658,3658,Huserteiet - Aulitoppen - Framtun,712,76A300,FFFFFF
RUT:Authority:RUT,RUT:Line:3659,3659,Østgård - Dragsjøvegen - Årnes,712,76A300,FFFFFF
RUT:Authority:RUT,RUT:Line:366,366,Orredalen - Sørumsand,704,76A300,FFFFFF
RUT:Authority:RUT,RUT:Line:367,367,Sørum sør/øst,704,76A300,FFFFFF
RUT:Authority:RUT,RUT:Line:3674,3674,Fallet - Skogbygda - Vormsund - Årnes,712,76A300,FFFFFF
RUT:Authority:RUT,RUT:Line:3676,3676,Bjørkelangen - Aurskog - Hellne - Haga - Nes vgs.,712,76A300,FFFFFF
RUT:Authority:RUT,RUT:Line:368,368,Bestillingslinje Sørum nord/øst,704,76A300,FFFFFF
RUT:Authority:RUT,RUT:Line:3682,3682,Skedsmokorset - Frogner - Kløfta - Hvam vgs,712,76A300,FFFFFF
RUT:Authority:RUT,RUT:Line:3686,3686,Runni - Tomteråsen/ Neskollen - Rånåsfoss,712,76A300,FFFFFF
RUT:Authority:RUT,RUT:Line:37,37,Nydalen T - Helsfyr,704,E60000,FFFFFF
RUT:Authority:RUT,RUT:Line:370,370A,Sørumsand - Blaker - Sørumsand,704,76A300,FFFFFF
RUT:Authority:RUT,RUT:Line:3701,B1,Øyene,1008,682C88,FFFFFF
RUT:Authority:RUT,RUT:Line:3702,B2,Langøyene,1008,682C88,FFFFFF
RUT:Authority:RUT,RUT:Line:3731,3731,Millidal - Skovseth - Eidsvoll/ Vilberg,712,76A300,FFFFFF
RUT:Authority:RUT,RUT:Line:3734,3734,Tømtedalen - Eidsvoll,712,76A300,FFFFFF
RUT:Authority:RUT,RUT:Line:3735,3735,Vilberg/ Eidsvoll - Finstad/ Bårstad,712,76A300,FFFFFF
